=== PSO TODAS AS REQUISIÇÕES ===

RESULTADOS PSO:
  Solução: [0, 1, 0, 0, 0]
  Fitness: 0.960000

RESULTADOS SIMULAÇÃO:
Load	[0,6]	[2,5]	[0,3]	[1,4]	[2,6]	Média
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
41	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	0.000000	0.000313	0.000000	0.000000	0.000313	0.000125
44	0.000313	0.000000	0.000000	0.000625	0.000000	0.000188
45	0.000000	0.000313	0.000000	0.000625	0.000937	0.000375
46	0.001250	0.001875	0.000000	0.001875	0.001250	0.001250
47	0.002812	0.002188	0.000000	0.004687	0.002812	0.002500
48	0.003125	0.003438	0.000000	0.003438	0.003750	0.002750
49	0.005000	0.005938	0.000000	0.005938	0.004687	0.004313
50	0.009062	0.009375	0.000000	0.008125	0.011250	0.007562
51	0.014063	0.010937	0.000000	0.008438	0.011250	0.008938
52	0.014063	0.015625	0.000000	0.012500	0.015000	0.011437
53	0.020625	0.023125	0.000000	0.022500	0.020313	0.017313
54	0.025000	0.026250	0.000000	0.026562	0.024688	0.020500
55	0.035312	0.036875	0.000000	0.030312	0.036562	0.027812
56	0.044375	0.045000	0.000000	0.043437	0.037500	0.034063
57	0.047500	0.048125	0.000000	0.045625	0.051250	0.038500
58	0.053750	0.052500	0.000000	0.050000	0.050625	0.041375
59	0.053750	0.061562	0.000000	0.060000	0.060312	0.047125
60	0.068437	0.079062	0.000000	0.076563	0.075313	0.059875
61	0.085000	0.083125	0.000000	0.081875	0.083125	0.066625
62	0.089063	0.096250	0.000000	0.092813	0.082187	0.072063
63	0.101250	0.101562	0.000000	0.103438	0.101250	0.081500
64	0.109063	0.100625	0.000000	0.101562	0.108125	0.083875
65	0.110312	0.116562	0.000000	0.111875	0.120625	0.091875
66	0.127500	0.127188	0.000000	0.129375	0.124063	0.101625
67	0.128125	0.135625	0.000000	0.123750	0.140313	0.105563
68	0.140625	0.143437	0.000000	0.139375	0.161562	0.117000
69	0.154375	0.155000	0.000000	0.168125	0.155938	0.126688
70	0.171250	0.155000	0.000000	0.166875	0.177813	0.134188
71	0.174687	0.187500	0.000000	0.167500	0.167500	0.139437
72	0.184375	0.185312	0.000000	0.192812	0.181562	0.148812
73	0.185938	0.188125	0.000000	0.196250	0.198750	0.153812
74	0.206250	0.191875	0.000000	0.202500	0.201250	0.160375
75	0.210938	0.206250	0.000000	0.210625	0.210625	0.167687
76	0.216562	0.209063	0.000000	0.212500	0.218750	0.171375
77	0.225000	0.233750	0.000000	0.228437	0.227187	0.182875
78	0.235625	0.232187	0.000000	0.233437	0.234375	0.187125
79	0.252500	0.247812	0.000000	0.235000	0.244062	0.195875
80	0.267500	0.246250	0.000000	0.247812	0.245000	0.201313
81	0.255312	0.270000	0.000000	0.248750	0.262500	0.207313
82	0.260937	0.272500	0.000000	0.269688	0.268125	0.214250
83	0.278750	0.277500	0.000000	0.277187	0.275938	0.221875
84	0.288438	0.283438	0.000000	0.288125	0.281875	0.228375
85	0.283750	0.279375	0.000000	0.299687	0.307812	0.234125
86	0.311563	0.295312	0.000000	0.300312	0.298438	0.241125
87	0.294687	0.306250	0.000000	0.310625	0.295312	0.241375
88	0.308750	0.306563	0.000000	0.304375	0.320312	0.248000
89	0.315625	0.310937	0.000000	0.309688	0.321562	0.251563
90	0.328437	0.310937	0.000000	0.323750	0.337813	0.260188
91	0.343750	0.342813	0.000000	0.331562	0.320937	0.267812
92	0.340625	0.333125	0.000000	0.336250	0.334062	0.268813
93	0.340000	0.338125	0.000000	0.358125	0.338750	0.275000
94	0.331250	0.361250	0.000000	0.362187	0.353438	0.281625
95	0.353125	0.366250	0.000000	0.355625	0.361250	0.287250
96	0.358125	0.353125	0.000000	0.366563	0.363438	0.288250
97	0.365938	0.372812	0.000000	0.372812	0.369688	0.296250
98	0.371875	0.375937	0.000000	0.385000	0.367500	0.300063
99	0.391250	0.378125	0.000000	0.375312	0.370937	0.303125
100	0.382188	0.389688	0.000000	0.391875	0.382812	0.309312
101	0.387188	0.400313	0.000000	0.398125	0.389688	0.315063
102	0.398125	0.382812	0.000000	0.404687	0.386250	0.314375
103	0.390313	0.411562	0.000000	0.405000	0.408438	0.323063
104	0.408438	0.396250	0.000000	0.406875	0.406250	0.323562
105	0.422500	0.399687	0.000000	0.401562	0.422187	0.329187
106	0.414687	0.414062	0.000000	0.427812	0.420938	0.335500
107	0.416250	0.417500	0.000000	0.422812	0.417187	0.334750
108	0.419063	0.431563	0.000000	0.412500	0.443125	0.341250
109	0.436875	0.421563	0.000000	0.445625	0.432500	0.347312
110	0.434063	0.438125	0.000000	0.420625	0.444375	0.347438
111	0.435000	0.440625	0.000000	0.447813	0.441875	0.353063
112	0.435937	0.444375	0.000000	0.439063	0.456250	0.355125
113	0.452188	0.450313	0.000000	0.450000	0.440000	0.358500
114	0.450625	0.460625	0.000000	0.456250	0.453437	0.364187
115	0.459062	0.458750	0.000000	0.456875	0.457500	0.366437
116	0.471875	0.466875	0.000000	0.465938	0.457500	0.372438
117	0.478438	0.457813	0.000000	0.474687	0.452813	0.372750
118	0.485312	0.464687	0.000000	0.465000	0.469687	0.376938
119	0.469062	0.470938	0.000000	0.483125	0.472813	0.379188
120	0.473438	0.492500	0.000000	0.468750	0.484375	0.383813
121	0.473125	0.463125	0.000000	0.486875	0.497812	0.384188
122	0.499063	0.495625	0.000000	0.477812	0.478438	0.390188
123	0.486563	0.488125	0.000000	0.501250	0.480312	0.391250
124	0.500000	0.500938	0.000000	0.482812	0.488438	0.394438
125	0.482812	0.490312	0.000000	0.505625	0.505000	0.396750
126	0.486250	0.508437	0.000000	0.498437	0.506250	0.399875
127	0.505938	0.509687	0.000000	0.495000	0.499688	0.402062
128	0.519687	0.515000	0.000000	0.501875	0.501250	0.407563
129	0.511250	0.515625	0.000000	0.497188	0.517500	0.408312
130	0.530000	0.501563	0.000000	0.508125	0.501875	0.408313
131	0.505000	0.515000	0.000000	0.523438	0.531250	0.414938
132	0.514062	0.517813	0.000000	0.524687	0.536250	0.418563
133	0.518437	0.537500	0.000000	0.522813	0.520938	0.419937
134	0.522813	0.540000	0.000000	0.521250	0.532188	0.423250
135	0.535937	0.517813	0.000000	0.545312	0.532188	0.426250
136	0.544687	0.534062	0.000000	0.542813	0.533750	0.431063
137	0.537813	0.537188	0.000000	0.528438	0.542500	0.429187
138	0.540625	0.546875	0.000000	0.537500	0.525937	0.430188
139	0.540312	0.539687	0.000000	0.543438	0.551875	0.435063
140	0.544687	0.548750	0.000000	0.543438	0.541562	0.435687
141	0.547188	0.564063	0.000000	0.541562	0.551875	0.440937
142	0.549687	0.547188	0.000000	0.549063	0.564375	0.442063
143	0.546875	0.552500	0.000313	0.574375	0.540000	0.442812
144	0.553438	0.550000	0.000000	0.569375	0.557813	0.446125
145	0.568438	0.556562	0.001250	0.562500	0.569063	0.451562
146	0.554375	0.558750	0.000313	0.573750	0.562187	0.449875
147	0.559063	0.558750	0.000000	0.562500	0.580625	0.452187
148	0.564063	0.573438	0.000937	0.563438	0.572812	0.454938
149	0.566562	0.570000	0.000000	0.570937	0.571875	0.455875
150	0.580000	0.571562	0.000313	0.569688	0.574375	0.459187
151	0.577500	0.570000	0.000000	0.583438	0.584688	0.463125
152	0.578438	0.576250	0.001250	0.578125	0.585000	0.463813
153	0.571875	0.592812	0.001875	0.574688	0.584063	0.465062
154	0.574688	0.581562	0.001875	0.601250	0.589375	0.469750
155	0.578750	0.596250	0.001563	0.577187	0.595625	0.469875
156	0.585313	0.584688	0.000937	0.596250	0.590625	0.471562
157	0.591875	0.595938	0.002188	0.593750	0.590313	0.474812
158	0.573750	0.603750	0.003125	0.590625	0.591250	0.472500
159	0.600313	0.600625	0.000625	0.604688	0.582812	0.477813
160	0.599063	0.590625	0.002188	0.610313	0.601562	0.480750
161	0.613437	0.595313	0.003438	0.590000	0.605938	0.481625
162	0.592812	0.609688	0.003750	0.610313	0.601875	0.483687
163	0.613750	0.602812	0.001875	0.590313	0.604688	0.482688
164	0.604062	0.612812	0.005000	0.595938	0.612500	0.486062
165	0.611875	0.599375	0.003750	0.616563	0.611875	0.488687
166	0.616250	0.614062	0.001563	0.618750	0.605313	0.491187
167	0.614375	0.606563	0.003438	0.615938	0.616563	0.491375
168	0.617812	0.621563	0.003125	0.603437	0.619375	0.493062
169	0.627812	0.621250	0.003438	0.601875	0.628125	0.496500
170	0.608125	0.639687	0.005938	0.612500	0.623125	0.497875
171	0.621250	0.626563	0.007188	0.605625	0.622188	0.496562
172	0.623750	0.617500	0.003125	0.630313	0.620938	0.499125
173	0.636250	0.617812	0.004687	0.619687	0.631250	0.501937
174	0.634375	0.625625	0.004687	0.639687	0.616563	0.504188
175	0.622188	0.633750	0.012500	0.639062	0.627188	0.506937
176	0.624375	0.633125	0.005313	0.630313	0.636875	0.506000
177	0.629687	0.640000	0.003750	0.637813	0.620938	0.506437
178	0.640312	0.627188	0.006250	0.631250	0.640625	0.509125
179	0.631875	0.645312	0.002500	0.646563	0.637813	0.512813
180	0.636875	0.625625	0.003750	0.645000	0.646250	0.511500
181	0.640000	0.638125	0.009687	0.637500	0.642813	0.513625
182	0.644687	0.640312	0.014063	0.637188	0.640938	0.515437
183	0.636563	0.653438	0.010937	0.644375	0.642500	0.517563
184	0.642813	0.644375	0.011250	0.640000	0.639062	0.515500
185	0.649375	0.642188	0.012188	0.645312	0.641875	0.518188
186	0.645312	0.650312	0.023125	0.665312	0.644687	0.525750
187	0.641250	0.655000	0.017188	0.653750	0.657500	0.524938
188	0.651563	0.651563	0.015625	0.646875	0.658750	0.524875
189	0.660000	0.650312	0.020625	0.655000	0.654375	0.528062
190	0.651563	0.657813	0.017188	0.655937	0.660312	0.528562
191	0.666875	0.656250	0.020000	0.655625	0.655000	0.530750
192	0.654062	0.650312	0.013125	0.671875	0.658125	0.529500
193	0.650937	0.662813	0.027187	0.672500	0.649375	0.532562
194	0.661875	0.654062	0.026562	0.663438	0.666562	0.534500
195	0.653125	0.669063	0.030625	0.663125	0.674063	0.538000
196	0.687500	0.668125	0.029375	0.660312	0.659375	0.540937
197	0.667813	0.669687	0.026562	0.660000	0.668438	0.538500
198	0.669375	0.678438	0.035937	0.667188	0.660625	0.542312
199	0.659062	0.679063	0.034688	0.665937	0.671250	0.542000
200	0.672188	0.674375	0.035000	0.674375	0.668125	0.544812
