Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.00415,0.00445,0.00415,0.00395,0.00385
2,0.00845,0.0088,0.00845,0.00895,0.0082
3,0.01395,0.0135,0.01375,0.014,0.01415
4,0.01915,0.0169,0.01665,0.0175,0.01885
5,0.02115,0.0231,0.02295,0.0219,0.0222
6,0.02555,0.02605,0.02675,0.0269,0.02655
7,0.0296,0.03185,0.03195,0.03055,0.03075
8,0.0359,0.03335,0.03665,0.03425,0.036
9,0.0389,0.0413,0.03765,0.0386,0.03955
10,0.0447,0.044,0.0425,0.0464,0.04505
11,0.04785,0.05095,0.048,0.0465,0.0516
12,0.05085,0.05345,0.05665,0.0551,0.0559
13,0.0584,0.0566,0.05735,0.05685,0.0556
14,0.06225,0.0613,0.05915,0.0635,0.06415
15,0.06895,0.06995,0.0662,0.06765,0.06925
16,0.06895,0.07155,0.07235,0.0714,0.0717
17,0.0772,0.07675,0.0717,0.0731,0.07685
18,0.078,0.0789,0.08265,0.08095,0.07935
19,0.0822,0.0834,0.08605,0.085,0.0827
20,0.08615,0.0901,0.087,0.092,0.089
21,0.0922,0.0916,0.0926,0.09645,0.0935
22,0.0968,0.0983,0.0935,0.09735,0.0981
23,0.1036,0.1027,0.0988,0.0993,0.10035
24,0.1035,0.1082,0.103,0.10755,0.10695
25,0.1103,0.10845,0.1095,0.11575,0.1152
26,0.1141,0.11405,0.1121,0.11545,0.11465
27,0.12075,0.12245,0.11975,0.11795,0.11985
28,0.12585,0.1281,0.1234,0.1282,0.1259
29,0.1299,0.1268,0.12295,0.1301,0.1287
30,0.13285,0.1341,0.1332,0.13175,0.13505
31,0.13505,0.14275,0.136,0.13655,0.14065
32,0.14015,0.14055,0.1422,0.14705,0.1392
33,0.1426,0.14865,0.1466,0.146,0.14805
34,0.15095,0.1546,0.14915,0.15145,0.1489
35,0.15475,0.15675,0.15785,0.1526,0.1554
36,0.1568,0.16,0.16185,0.15765,0.15875
37,0.1638,0.1663,0.1566,0.1649,0.17
38,0.16675,0.16415,0.1683,0.17415,0.1694
39,0.174,0.17285,0.1764,0.17335,0.1775
40,0.17715,0.177,0.17505,0.17985,0.1774
41,0.1786,0.18275,0.1844,0.18055,0.1815
42,0.18405,0.1868,0.18595,0.1908,0.1882
43,0.19015,0.1892,0.19535,0.19525,0.19135
44,0.1946,0.1965,0.19475,0.1973,0.19645
45,0.1984,0.2009,0.2063,0.2008,0.20025
46,0.20615,0.2022,0.19945,0.20775,0.2023
47,0.2055,0.20755,0.2085,0.2059,0.20925
