=== PSO ALINHADO - TODAS AS REQUISIÇÕES ===

Load	[0,12]	[2,6]	[5,10]	[4,11]	[3,8]	Média
1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.000000	0.000313	0.000000	0.000000	0.000000	0.000063
41	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	0.000000	0.000625	0.000625	0.000000	0.000625	0.000375
45	0.000000	0.000000	0.000313	0.000937	0.000313	0.000313
46	0.000000	0.000937	0.001250	0.001563	0.000313	0.000813
47	0.000000	0.001563	0.001250	0.001875	0.001563	0.001250
48	0.000000	0.002188	0.002188	0.002188	0.004063	0.002125
49	0.000000	0.003125	0.004063	0.001563	0.003125	0.002375
50	0.000000	0.006875	0.005938	0.005313	0.007188	0.005063
51	0.000000	0.011250	0.009687	0.011562	0.010313	0.008563
52	0.000000	0.009062	0.012812	0.011250	0.012188	0.009063
53	0.000000	0.022812	0.018750	0.020313	0.015312	0.015437
54	0.000000	0.018125	0.018437	0.021875	0.023750	0.016438
55	0.000000	0.030937	0.029687	0.023438	0.029063	0.022625
56	0.000000	0.033438	0.033750	0.036250	0.036875	0.028063
57	0.000000	0.038125	0.045000	0.047813	0.040000	0.034188
58	0.000000	0.053125	0.051250	0.052187	0.050625	0.041438
59	0.000000	0.064062	0.060937	0.059375	0.060000	0.048875
60	0.000000	0.065000	0.066562	0.064062	0.067187	0.052562
61	0.000000	0.077500	0.077500	0.076875	0.069687	0.060313
62	0.000000	0.085000	0.086563	0.088750	0.081875	0.068437
63	0.000000	0.098750	0.093750	0.090000	0.096250	0.075750
64	0.000000	0.107188	0.102188	0.097187	0.102813	0.081875
65	0.000000	0.115312	0.111250	0.115937	0.112812	0.091063
66	0.000000	0.113750	0.126875	0.121875	0.130938	0.098687
67	0.000000	0.126250	0.128438	0.143125	0.139687	0.107500
68	0.000000	0.133437	0.139687	0.141875	0.145000	0.112000
69	0.000000	0.150938	0.157500	0.148750	0.148125	0.121063
70	0.000000	0.161562	0.158750	0.161562	0.157188	0.127812
71	0.000000	0.161250	0.165000	0.171250	0.167500	0.133000
72	0.000000	0.169687	0.180000	0.176875	0.177187	0.140750
73	0.000000	0.194375	0.186562	0.180312	0.190938	0.150438
74	0.000000	0.190938	0.191250	0.192188	0.200000	0.154875
75	0.000000	0.206250	0.197187	0.197500	0.207813	0.161750
76	0.000000	0.219062	0.216250	0.208750	0.216250	0.172063
77	0.000000	0.220625	0.230313	0.216562	0.218750	0.177250
78	0.000000	0.226250	0.234063	0.235937	0.224062	0.184063
79	0.000000	0.233125	0.246562	0.240313	0.220625	0.188125
80	0.000000	0.233125	0.257812	0.250625	0.243438	0.197000
81	0.000000	0.247500	0.251563	0.251563	0.249062	0.199938
82	0.000000	0.258437	0.263750	0.266250	0.272188	0.212125
83	0.000000	0.269062	0.262813	0.273438	0.275625	0.216188
84	0.000000	0.269688	0.280625	0.274687	0.299687	0.224937
85	0.000000	0.289375	0.273438	0.279375	0.278125	0.224062
86	0.000000	0.292187	0.296250	0.291875	0.289687	0.234000
87	0.000000	0.301875	0.303438	0.304375	0.301250	0.242188
88	0.000000	0.313750	0.323125	0.295938	0.296875	0.245938
89	0.000000	0.316563	0.301250	0.316563	0.309375	0.248750
90	0.000313	0.328437	0.325625	0.307500	0.306563	0.253687
91	0.000313	0.323750	0.335625	0.326562	0.319375	0.261125
92	0.000000	0.328125	0.349062	0.338125	0.328437	0.268750
93	0.000625	0.329375	0.354063	0.340938	0.329375	0.270875
94	0.000625	0.343438	0.353125	0.336875	0.338750	0.274563
95	0.000313	0.361250	0.361875	0.342500	0.334375	0.280062
96	0.000000	0.364687	0.343125	0.348750	0.360312	0.283375
97	0.000937	0.365625	0.351562	0.355938	0.379375	0.290687
98	0.000937	0.375000	0.366250	0.366250	0.363750	0.294438
99	0.000625	0.383125	0.368125	0.375312	0.376875	0.300813
100	0.003750	0.368125	0.386562	0.388437	0.385313	0.306437
101	0.000000	0.396250	0.386562	0.381563	0.383437	0.309563
102	0.000625	0.396250	0.381250	0.402500	0.382812	0.312688
103	0.000000	0.395313	0.399375	0.391562	0.391250	0.315500
104	0.004687	0.417187	0.393750	0.396562	0.405313	0.323500
105	0.000625	0.406562	0.417812	0.406562	0.392500	0.324813
106	0.002812	0.409062	0.423125	0.411875	0.410625	0.331500
107	0.000000	0.431250	0.400938	0.413438	0.426250	0.334375
108	0.003750	0.415000	0.436563	0.423750	0.416875	0.339187
109	0.003750	0.425625	0.421563	0.432812	0.412813	0.339313
110	0.001563	0.427187	0.426250	0.435937	0.440937	0.346375
111	0.005313	0.434063	0.435625	0.432812	0.437500	0.349062
112	0.005938	0.441875	0.446250	0.439375	0.441563	0.355000
113	0.002188	0.440625	0.452500	0.434688	0.450937	0.356187
114	0.003750	0.450313	0.448750	0.440312	0.458437	0.360313
115	0.002812	0.445625	0.459688	0.451562	0.461250	0.364187
116	0.008438	0.465625	0.465625	0.447813	0.455625	0.368625
117	0.011562	0.468438	0.442500	0.462500	0.468750	0.370750
118	0.007500	0.457500	0.470313	0.473438	0.462500	0.374250
119	0.008125	0.466875	0.469062	0.478750	0.465625	0.377688
120	0.005625	0.470313	0.464375	0.475625	0.485938	0.380375
121	0.006562	0.474687	0.474687	0.485000	0.476250	0.383437
122	0.008438	0.491875	0.485625	0.481875	0.471562	0.387875
123	0.007500	0.515000	0.478125	0.475938	0.474687	0.390250
124	0.013750	0.499063	0.481250	0.489687	0.477812	0.392313
125	0.012500	0.495000	0.496875	0.495312	0.481250	0.396188
126	0.007500	0.503437	0.499063	0.495625	0.493750	0.399875
127	0.007812	0.509062	0.490312	0.495625	0.499688	0.400500
128	0.013125	0.500938	0.512188	0.500000	0.497812	0.404813
129	0.018125	0.512500	0.503750	0.514062	0.503750	0.410438
130	0.014687	0.509375	0.517188	0.508437	0.494375	0.408812
131	0.014063	0.519375	0.509375	0.524062	0.503437	0.414062
132	0.019062	0.532500	0.521563	0.515312	0.504687	0.418625
133	0.018750	0.513750	0.522188	0.530625	0.523438	0.421750
134	0.023438	0.536875	0.526563	0.520938	0.515000	0.424563
135	0.020313	0.522813	0.528125	0.520312	0.532188	0.424750
136	0.026875	0.535625	0.530937	0.533125	0.525000	0.430312
137	0.025937	0.542188	0.523438	0.546250	0.528750	0.433312
138	0.021562	0.534375	0.532188	0.534375	0.536875	0.431875
139	0.025313	0.534062	0.528125	0.537188	0.556250	0.436187
140	0.028125	0.566250	0.545625	0.545625	0.519375	0.441000
141	0.026562	0.544375	0.538438	0.562500	0.546250	0.443625
142	0.030625	0.548750	0.531875	0.557187	0.548125	0.443313
143	0.032500	0.568125	0.538438	0.557813	0.546875	0.448750
144	0.028750	0.567500	0.555625	0.553125	0.539062	0.448813
145	0.033125	0.560312	0.557500	0.555312	0.551250	0.451500
146	0.033125	0.567500	0.555000	0.562500	0.558125	0.455250
147	0.030312	0.572500	0.550937	0.570625	0.562813	0.457438
148	0.040625	0.580313	0.546250	0.573125	0.568750	0.461813
149	0.036875	0.577187	0.556562	0.586562	0.547500	0.460937
150	0.044062	0.579688	0.546875	0.577812	0.572500	0.464188
151	0.052812	0.574688	0.561250	0.578750	0.568438	0.467187
152	0.052187	0.586562	0.565312	0.571250	0.565312	0.468125
153	0.047813	0.589688	0.562187	0.584688	0.580625	0.473000
154	0.055625	0.587500	0.581562	0.590625	0.568750	0.476812
155	0.060000	0.592500	0.580313	0.586875	0.573438	0.478625
156	0.047500	0.596250	0.566250	0.590313	0.576250	0.475312
157	0.062187	0.594688	0.580313	0.592500	0.570625	0.480063
158	0.060312	0.605313	0.583125	0.588437	0.585313	0.484500
159	0.066875	0.606875	0.583438	0.595313	0.585938	0.487687
160	0.067812	0.600625	0.581875	0.593750	0.585000	0.485813
161	0.070938	0.603437	0.575313	0.605625	0.599688	0.491000
162	0.079062	0.595625	0.605938	0.605625	0.597187	0.496688
163	0.068750	0.607500	0.595938	0.606875	0.597187	0.495250
164	0.082187	0.609375	0.603750	0.616875	0.589688	0.500375
165	0.076563	0.620938	0.598437	0.600313	0.603750	0.500000
166	0.069062	0.611250	0.598437	0.610938	0.601250	0.498187
167	0.084687	0.615938	0.599688	0.624375	0.603437	0.505625
168	0.080937	0.622500	0.610313	0.614375	0.610000	0.507625
169	0.083750	0.638750	0.610313	0.622188	0.592187	0.509437
170	0.085625	0.623437	0.598437	0.626875	0.602500	0.507375
171	0.087813	0.627188	0.614062	0.634062	0.598125	0.512250
172	0.105313	0.623437	0.609062	0.633125	0.620000	0.518188
173	0.096250	0.620625	0.605313	0.627500	0.631250	0.516188
174	0.096875	0.643125	0.622500	0.630313	0.601250	0.518813
175	0.095625	0.625000	0.612812	0.645938	0.619375	0.519750
176	0.095000	0.631563	0.621563	0.650937	0.620938	0.524000
177	0.094375	0.641875	0.613437	0.645000	0.610000	0.520937
178	0.105625	0.645938	0.616875	0.631250	0.626563	0.525250
179	0.118438	0.644062	0.616563	0.647188	0.622500	0.529750
180	0.112500	0.645312	0.626250	0.642188	0.637500	0.532750
181	0.114687	0.648125	0.604375	0.648750	0.637188	0.530625
182	0.121563	0.645000	0.631875	0.643750	0.629062	0.534250
183	0.129688	0.650937	0.620000	0.661563	0.630000	0.538437
184	0.120000	0.659375	0.620938	0.645312	0.639687	0.537062
185	0.128750	0.658125	0.631250	0.666875	0.630625	0.543125
186	0.126250	0.650000	0.632812	0.659375	0.639062	0.541500
187	0.126875	0.660625	0.621563	0.674063	0.634375	0.543500
188	0.121250	0.659062	0.639375	0.668750	0.629375	0.543562
189	0.135000	0.671250	0.645000	0.664375	0.627500	0.548625
190	0.130312	0.672813	0.635938	0.666250	0.633750	0.547813
191	0.133750	0.661250	0.641875	0.667500	0.648125	0.550500
192	0.136563	0.667500	0.647500	0.666562	0.641563	0.551937
193	0.141875	0.672500	0.645000	0.662188	0.651563	0.554625
194	0.150625	0.673438	0.637500	0.674375	0.650937	0.557375
195	0.137187	0.669687	0.641563	0.682813	0.656563	0.557563
196	0.150625	0.675937	0.638750	0.679688	0.654687	0.559937
197	0.153125	0.671250	0.649062	0.674063	0.665625	0.562625
198	0.146563	0.691250	0.640625	0.689375	0.645625	0.562688
199	0.160000	0.674063	0.662813	0.687187	0.653125	0.567437
200	0.160000	0.679375	0.639687	0.686875	0.650937	0.563375
