=== PSO ALINHADO - REQUISIÇÃO [0,12] ===

PARÂMETROS:
  Lambdas: 40
  Loads: 1 a 200
  Chamadas por load: 1000
  Simulações por load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000939
91	0.000939
92	0.000000
93	0.001875
94	0.001875
95	0.000939
96	0.000000
97	0.002811
98	0.002811
99	0.001875
100	0.011250
101	0.000000
102	0.001875
103	0.000000
104	0.014061
105	0.001875
106	0.008436
107	0.000000
108	0.011250
109	0.011250
110	0.004689
111	0.015939
112	0.017814
113	0.006564
114	0.011250
115	0.008436
116	0.025314
117	0.034686
118	0.022500
119	0.024375
120	0.016875
121	0.019686
122	0.025314
123	0.022500
124	0.041250
125	0.037500
126	0.022500
127	0.023436
128	0.039375
129	0.054375
130	0.044061
131	0.042189
132	0.057186
133	0.056250
134	0.070314
135	0.060939
136	0.080625
137	0.077811
138	0.064686
139	0.075939
140	0.084375
141	0.079686
142	0.091875
143	0.097500
144	0.086250
145	0.099375
146	0.099375
147	0.090936
148	0.121875
149	0.110625
150	0.132186
151	0.158436
152	0.156561
153	0.143439
154	0.166875
155	0.180000
156	0.142500
157	0.186561
158	0.180936
159	0.200625
160	0.203436
161	0.212814
162	0.237186
163	0.206250
164	0.246561
165	0.229689
166	0.207186
167	0.254061
168	0.242811
169	0.251250
170	0.256875
171	0.263439
172	0.315939
173	0.288750
174	0.290625
175	0.286875
176	0.285000
177	0.283125
178	0.316875
179	0.355314
180	0.337500
181	0.344061
182	0.364689
183	0.389064
184	0.360000
185	0.386250
186	0.378750
187	0.380625
188	0.363750
189	0.405000
190	0.390936
191	0.401250
192	0.409689
193	0.425625
194	0.451875
195	0.411561
196	0.451875
197	0.459375
198	0.439689
199	0.480000
200	0.480000
