=== PSO GLOBAL - REQUISIÇÃO [4,11] ===

PARÂMETROS:
  Lambdas: 40
  Loads: 1 a 200
  Chamadas por load: 1000
  Simulações por load: 20

RESULTADOS (Probabilidade de Bloqueio):
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000313
79	0.000000
80	0.000625
81	0.002812
82	0.000000
83	0.002500
84	0.000313
85	0.001563
86	0.002500
87	0.003750
88	0.003438
89	0.002500
90	0.002188
91	0.010000
92	0.010000
93	0.007188
94	0.012188
95	0.011562
96	0.013750
97	0.016250
98	0.017812
99	0.025313
100	0.026562
101	0.030625
102	0.029375
103	0.034375
104	0.035312
105	0.040313
106	0.051875
107	0.050937
108	0.046562
109	0.054375
110	0.063437
111	0.065625
112	0.066875
113	0.068750
114	0.073750
115	0.073125
116	0.089375
117	0.086563
118	0.096562
119	0.090000
120	0.111250
121	0.112812
122	0.119375
123	0.126562
124	0.129688
125	0.131250
126	0.139687
127	0.142187
128	0.145313
129	0.147187
130	0.153125
131	0.158438
132	0.159062
133	0.160312
134	0.172500
135	0.179063
136	0.172500
137	0.188438
138	0.192188
139	0.195937
140	0.212812
141	0.211250
142	0.218125
143	0.213750
144	0.221875
145	0.205625
146	0.225938
147	0.223438
148	0.232813
149	0.243750
150	0.246562
151	0.243438
152	0.247812
153	0.255625
154	0.262188
155	0.270000
156	0.259062
157	0.281250
158	0.286562
159	0.287500
160	0.278750
161	0.281250
162	0.302187
163	0.298125
164	0.293750
165	0.303750
166	0.317500
167	0.310937
168	0.323125
169	0.304375
170	0.329688
171	0.330937
172	0.322813
173	0.324062
174	0.324375
175	0.331875
176	0.338438
177	0.345625
178	0.351875
179	0.331562
180	0.344375
181	0.356250
182	0.340938
183	0.357187
184	0.356250
185	0.365625
186	0.365625
187	0.369063
188	0.378125
189	0.376250
190	0.376563
191	0.375000
192	0.380937
193	0.387500
194	0.382500
195	0.394062
196	0.394375
197	0.406250
198	0.402187
199	0.400938
200	0.404375
