=== PSO k=2 - REQUISIÇÃO [5,10] ===

PARÂMETROS:
  Wavelengths: 40
  Rota selecionada: 1
  Loads: 1 a 200
  Calls/load: 1000
  Rodadas/load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000625
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000625
77	0.000313
78	0.000937
79	0.000313
80	0.000937
81	0.000000
82	0.000313
83	0.001250
84	0.001563
85	0.003125
86	0.001250
87	0.002500
88	0.005938
89	0.007188
90	0.008438
91	0.005625
92	0.009375
93	0.010625
94	0.015938
95	0.012812
96	0.015000
97	0.015000
98	0.015938
99	0.025625
100	0.028438
101	0.031563
102	0.036875
103	0.035937
104	0.038125
105	0.041250
106	0.045312
107	0.047813
108	0.055938
109	0.049375
110	0.062187
111	0.065312
112	0.072813
113	0.073750
114	0.075938
115	0.068437
116	0.090938
117	0.092813
118	0.091875
119	0.096875
120	0.113125
121	0.114062
122	0.116875
123	0.123750
124	0.119375
125	0.131250
126	0.136875
127	0.134063
128	0.138750
129	0.137500
130	0.152500
131	0.156562
132	0.159688
133	0.166875
134	0.176875
135	0.173437
136	0.170625
137	0.192188
138	0.178750
139	0.196250
140	0.197187
141	0.203437
142	0.199063
143	0.214062
144	0.218125
145	0.222812
146	0.235000
147	0.225625
148	0.235313
149	0.239063
150	0.247188
151	0.257500
152	0.243750
153	0.257812
154	0.263125
155	0.255625
156	0.259375
157	0.272813
158	0.274687
159	0.275000
160	0.280000
161	0.285313
162	0.278438
163	0.293125
164	0.302500
165	0.304375
166	0.307500
167	0.306250
168	0.318750
169	0.317500
170	0.311875
171	0.327500
172	0.331250
173	0.336875
174	0.323750
175	0.327500
176	0.333125
177	0.346250
178	0.340313
179	0.337500
180	0.349375
181	0.340938
182	0.341562
183	0.362500
184	0.367812
185	0.373750
186	0.371250
187	0.362187
188	0.376875
189	0.375625
190	0.377812
191	0.395625
192	0.391562
193	0.381563
194	0.397500
195	0.404687
196	0.399062
197	0.387500
198	0.390313
199	0.398438
200	0.390625
