# MÉDIAS E ESTATÍSTICAS
# Requisição 4: [1,4]
# Modo: CONJUNTO
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   2 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   3 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   4 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   5 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   6 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   7 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   8 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   9 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  10 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  11 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  12 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  13 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  14 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  15 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  16 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  17 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  18 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  19 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  20 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  21 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  22 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  23 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  24 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  25 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  26 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  27 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  28 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  29 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  30 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  31 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  32 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  33 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  34 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  35 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  36 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  37 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  38 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  39 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  40 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  41 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  42 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  43 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  44 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  45 | 0.00005464 | 0.00023819 | 0.00000000 | 0.00109290 | -0.00005646 | 0.00016575
  46 | 0.00005371 | 0.00023410 | 0.00000000 | 0.00107411 | -0.00005549 | 0.00016290
  47 | 0.00015791 | 0.00050051 | 0.00000000 | 0.00208986 | -0.00007555 | 0.00039137
  48 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  49 | 0.00090307 | 0.00172508 | 0.00000000 | 0.00697211 | 0.00009841 | 0.00170772
  50 | 0.00039530 | 0.00095184 | 0.00000000 | 0.00391773 | -0.00004868 | 0.00083928
  51 | 0.00102260 | 0.00112954 | 0.00000000 | 0.00293542 | 0.00049573 | 0.00154946
  52 | 0.00090436 | 0.00109335 | 0.00000000 | 0.00367985 | 0.00039438 | 0.00141435
  53 | 0.00113774 | 0.00138746 | 0.00000000 | 0.00462963 | 0.00049057 | 0.00178492
  54 | 0.00177466 | 0.00172755 | 0.00000000 | 0.00625559 | 0.00096886 | 0.00258047
  55 | 0.00190373 | 0.00163703 | 0.00000000 | 0.00527241 | 0.00114015 | 0.00266732
  56 | 0.00201312 | 0.00229834 | 0.00000000 | 0.00731261 | 0.00094108 | 0.00308517
  57 | 0.00250440 | 0.00209601 | 0.00000000 | 0.00626118 | 0.00152673 | 0.00348207
  58 | 0.00309212 | 0.00227357 | 0.00000000 | 0.00686695 | 0.00203163 | 0.00415262
  59 | 0.00448730 | 0.00402775 | 0.00000000 | 0.01681416 | 0.00260858 | 0.00636602
  60 | 0.00600875 | 0.00344724 | 0.00079051 | 0.01736973 | 0.00440081 | 0.00761669
  61 | 0.00782578 | 0.00427056 | 0.00162602 | 0.01859337 | 0.00583380 | 0.00981775
  62 | 0.00753408 | 0.00502314 | 0.00243704 | 0.02034174 | 0.00519107 | 0.00987710
  63 | 0.01085012 | 0.00435196 | 0.00157604 | 0.02012882 | 0.00882017 | 0.01288006
  64 | 0.01006528 | 0.00653739 | 0.00157978 | 0.03088803 | 0.00701596 | 0.01311461
  65 | 0.01041232 | 0.00542451 | 0.00308166 | 0.02301411 | 0.00788210 | 0.01294255
  66 | 0.01636024 | 0.00591565 | 0.00615385 | 0.03021583 | 0.01360092 | 0.01911956
  67 | 0.01761307 | 0.00693714 | 0.00674663 | 0.03230543 | 0.01437729 | 0.02084886
  68 | 0.02061738 | 0.00908022 | 0.00372024 | 0.04267844 | 0.01638197 | 0.02485280
  69 | 0.02378310 | 0.00636877 | 0.01287554 | 0.03581871 | 0.02081243 | 0.02675377
  70 | 0.02383463 | 0.00878858 | 0.00736377 | 0.04294918 | 0.01973525 | 0.02793401
  71 | 0.02711125 | 0.01128877 | 0.01337087 | 0.05442177 | 0.02184568 | 0.03237683
  72 | 0.03006677 | 0.00731559 | 0.01788171 | 0.04383562 | 0.02665446 | 0.03347908
  73 | 0.03156991 | 0.00793616 | 0.01864641 | 0.05017422 | 0.02786814 | 0.03527168
  74 | 0.03831502 | 0.00779072 | 0.02766252 | 0.05469278 | 0.03468109 | 0.04194895
  75 | 0.04445628 | 0.01052693 | 0.02989130 | 0.07425068 | 0.03954606 | 0.04936651
  76 | 0.04573683 | 0.01664846 | 0.02388852 | 0.08156712 | 0.03797125 | 0.05350240
  77 | 0.05450584 | 0.01179119 | 0.03803596 | 0.08946701 | 0.04900591 | 0.06000577
  78 | 0.05287503 | 0.01197577 | 0.03139013 | 0.07351154 | 0.04728901 | 0.05846105
  79 | 0.06402041 | 0.01134986 | 0.04110429 | 0.08206107 | 0.05872634 | 0.06931448
  80 | 0.06353183 | 0.01228526 | 0.04661280 | 0.09615385 | 0.05780145 | 0.06926222
  81 | 0.07341287 | 0.01313354 | 0.05200501 | 0.10545024 | 0.06728681 | 0.07953893
  82 | 0.07414325 | 0.01354730 | 0.05360334 | 0.10362998 | 0.06782420 | 0.08046230
  83 | 0.07886186 | 0.01219368 | 0.04750000 | 0.10029674 | 0.07317420 | 0.08454953
  84 | 0.08236765 | 0.01192384 | 0.04243192 | 0.10040627 | 0.07680585 | 0.08792945
  85 | 0.09528450 | 0.01341988 | 0.06290417 | 0.11641791 | 0.08902488 | 0.10154412
  86 | 0.09674693 | 0.01368367 | 0.07751479 | 0.13172338 | 0.09036427 | 0.10312959
  87 | 0.10100612 | 0.01542218 | 0.06695332 | 0.12773109 | 0.09381254 | 0.10819970
  88 | 0.10987758 | 0.01304431 | 0.08431604 | 0.13742531 | 0.10379314 | 0.11596202
  89 | 0.11147079 | 0.02105587 | 0.07302709 | 0.17574786 | 0.10164941 | 0.12129216
  90 | 0.11853236 | 0.01592474 | 0.08427602 | 0.13885778 | 0.11110436 | 0.12596035
  91 | 0.12436093 | 0.01565793 | 0.10348584 | 0.15904366 | 0.11705738 | 0.13166447
  92 | 0.12845725 | 0.01812752 | 0.08555556 | 0.15050167 | 0.12000178 | 0.13691272
  93 | 0.13995954 | 0.02022510 | 0.10650224 | 0.18114407 | 0.13052567 | 0.14939341
  94 | 0.14611971 | 0.01706417 | 0.11819681 | 0.18883672 | 0.13816024 | 0.15407919
  95 | 0.14625214 | 0.01724496 | 0.11542497 | 0.18920258 | 0.13820833 | 0.15429594
  96 | 0.15730866 | 0.02045760 | 0.11256281 | 0.18369401 | 0.14776634 | 0.16685098
  97 | 0.16306153 | 0.01612644 | 0.14086770 | 0.19489796 | 0.15553945 | 0.17058360
  98 | 0.16848231 | 0.01562690 | 0.13913497 | 0.19898990 | 0.16119324 | 0.17577138
  99 | 0.18012696 | 0.01551474 | 0.14799375 | 0.20148883 | 0.17289021 | 0.18736372
 100 | 0.18256320 | 0.01187808 | 0.16742310 | 0.21305842 | 0.17702275 | 0.18810366
 101 | 0.18635812 | 0.01790292 | 0.13680449 | 0.21117099 | 0.17800742 | 0.19470883
 102 | 0.20248648 | 0.01766809 | 0.17027559 | 0.23816156 | 0.19424531 | 0.21072765
 103 | 0.19792088 | 0.02126145 | 0.16299137 | 0.24225083 | 0.18800360 | 0.20783815
 104 | 0.20784141 | 0.01658369 | 0.17638266 | 0.24350649 | 0.20010606 | 0.21557677
 105 | 0.21506490 | 0.01806738 | 0.18496828 | 0.25897319 | 0.20663749 | 0.22349232
 106 | 0.22105542 | 0.01784955 | 0.18074656 | 0.24954128 | 0.21272961 | 0.22938123
