=== PSO ALINHADO - REQUISIÇÃO [3,8] ===

PARÂMETROS:
  Lambdas: 40
  Loads: 1 a 200
  Chamadas por load: 1000
  Simulações por load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000625
45	0.000313
46	0.000313
47	0.001563
48	0.004063
49	0.003125
50	0.007188
51	0.010313
52	0.012188
53	0.015312
54	0.023750
55	0.029063
56	0.036875
57	0.040000
58	0.050625
59	0.060000
60	0.067187
61	0.069687
62	0.081875
63	0.096250
64	0.102813
65	0.112812
66	0.130938
67	0.139687
68	0.145000
69	0.148125
70	0.157188
71	0.167500
72	0.177187
73	0.190938
74	0.200000
75	0.207813
76	0.216250
77	0.218750
78	0.224062
79	0.220625
80	0.243438
81	0.249062
82	0.272188
83	0.275625
84	0.299687
85	0.278125
86	0.289687
87	0.301250
88	0.296875
89	0.309375
90	0.306563
91	0.319375
92	0.328437
93	0.329375
94	0.338750
95	0.334375
96	0.360312
97	0.379375
98	0.363750
99	0.376875
100	0.385313
101	0.383437
102	0.382812
103	0.391250
104	0.405313
105	0.392500
106	0.410625
107	0.426250
108	0.416875
109	0.412813
110	0.440937
111	0.437500
112	0.441563
113	0.450937
114	0.458437
115	0.461250
116	0.455625
117	0.468750
118	0.462500
119	0.465625
120	0.485938
121	0.476250
122	0.471562
123	0.474687
124	0.477812
125	0.481250
126	0.493750
127	0.499688
128	0.497812
129	0.503750
130	0.494375
131	0.503437
132	0.504687
133	0.523438
134	0.515000
135	0.532188
136	0.525000
137	0.528750
138	0.536875
139	0.556250
140	0.519375
141	0.546250
142	0.548125
143	0.546875
144	0.539062
145	0.551250
146	0.558125
147	0.562813
148	0.568750
149	0.547500
150	0.572500
151	0.568438
152	0.565312
153	0.580625
154	0.568750
155	0.573438
156	0.576250
157	0.570625
158	0.585313
159	0.585938
160	0.585000
161	0.599688
162	0.597187
163	0.597187
164	0.589688
165	0.603750
166	0.601250
167	0.603437
168	0.610000
169	0.592187
170	0.602500
171	0.598125
172	0.620000
173	0.631250
174	0.601250
175	0.619375
176	0.620938
177	0.610000
178	0.626563
179	0.622500
180	0.637500
181	0.637188
182	0.629062
183	0.630000
184	0.639687
185	0.630625
186	0.639062
187	0.634375
188	0.629375
189	0.627500
190	0.633750
191	0.648125
192	0.641563
193	0.651563
194	0.650937
195	0.656563
196	0.654687
197	0.665625
198	0.645625
199	0.653125
200	0.650937
