# MÉDIAS E ESTATÍSTICAS
# Requisição 4: [4,11]
# Modo: CONJUNTO
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   2 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   3 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   4 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   5 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   6 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   7 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   8 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   9 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  10 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  11 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  12 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  13 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  14 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  15 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  16 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  17 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  18 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  19 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  20 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  21 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  22 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  23 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  24 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  25 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  26 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  27 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  28 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  29 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  30 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  31 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  32 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  33 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  34 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  35 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  36 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  37 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  38 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  39 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  40 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  41 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  42 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  43 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  44 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  45 | 0.00027098 | 0.00095997 | 0.00000000 | 0.00432432 | -0.00017679 | 0.00071875
  46 | 0.00016159 | 0.00038499 | 0.00000000 | 0.00113636 | -0.00001799 | 0.00034116
  47 | 0.00010764 | 0.00046920 | 0.00000000 | 0.00215285 | -0.00011121 | 0.00032650
  48 | 0.00005061 | 0.00022059 | 0.00000000 | 0.00101215 | -0.00005229 | 0.00015350
  49 | 0.00036581 | 0.00089574 | 0.00000000 | 0.00320513 | -0.00005200 | 0.00078362
  50 | 0.00010084 | 0.00030256 | 0.00000000 | 0.00102564 | -0.00004029 | 0.00024196
  51 | 0.00014432 | 0.00034362 | 0.00000000 | 0.00098135 | -0.00001596 | 0.00030460
  52 | 0.00033444 | 0.00074802 | 0.00000000 | 0.00277521 | -0.00001447 | 0.00068335
  53 | 0.00056602 | 0.00095896 | 0.00000000 | 0.00377003 | 0.00011872 | 0.00101332
  54 | 0.00072672 | 0.00123609 | 0.00000000 | 0.00543971 | 0.00015015 | 0.00130328
  55 | 0.00139039 | 0.00217411 | 0.00000000 | 0.00892857 | 0.00037629 | 0.00240448
  56 | 0.00267142 | 0.00267649 | 0.00000000 | 0.00892857 | 0.00142299 | 0.00391985
  57 | 0.00203390 | 0.00200828 | 0.00000000 | 0.00673968 | 0.00109715 | 0.00297065
  58 | 0.00253867 | 0.00264538 | 0.00000000 | 0.01121657 | 0.00130474 | 0.00377259
  59 | 0.00659581 | 0.00480499 | 0.00084890 | 0.01920000 | 0.00435455 | 0.00883707
  60 | 0.00461237 | 0.00391862 | 0.00079177 | 0.01543461 | 0.00278455 | 0.00644018
  61 | 0.00711606 | 0.00383305 | 0.00165426 | 0.01505017 | 0.00532816 | 0.00890396
  62 | 0.00929462 | 0.00527937 | 0.00153257 | 0.02240000 | 0.00683209 | 0.01175715
  63 | 0.01010302 | 0.00448723 | 0.00482315 | 0.02366412 | 0.00800998 | 0.01219607
  64 | 0.01253731 | 0.00481365 | 0.00493016 | 0.02157738 | 0.01029201 | 0.01478261
  65 | 0.01710040 | 0.00569520 | 0.00644641 | 0.02751629 | 0.01444391 | 0.01975689
  66 | 0.01844352 | 0.00589516 | 0.00981132 | 0.02896452 | 0.01569376 | 0.02119328
  67 | 0.02278422 | 0.00738916 | 0.01129518 | 0.03979366 | 0.01933759 | 0.02623085
  68 | 0.03072099 | 0.01169290 | 0.01410542 | 0.05425772 | 0.02526691 | 0.03617507
  69 | 0.02959007 | 0.01116150 | 0.01050263 | 0.05056180 | 0.02438385 | 0.03479628
  70 | 0.03158808 | 0.00776700 | 0.01112760 | 0.04341428 | 0.02796521 | 0.03521095
  71 | 0.04119300 | 0.01148054 | 0.01793400 | 0.05971174 | 0.03583797 | 0.04654803
  72 | 0.04606648 | 0.00814462 | 0.02797203 | 0.05648536 | 0.04226747 | 0.04986549
  73 | 0.05157538 | 0.01111039 | 0.03333333 | 0.08602846 | 0.04639300 | 0.05675775
  74 | 0.05749169 | 0.01597287 | 0.03542234 | 0.08992563 | 0.05004124 | 0.06494214
  75 | 0.06162600 | 0.01274053 | 0.03479471 | 0.08236896 | 0.05568326 | 0.06756874
  76 | 0.06733416 | 0.01170010 | 0.04924761 | 0.08874598 | 0.06187672 | 0.07279161
  77 | 0.07240432 | 0.01158104 | 0.05426870 | 0.09484405 | 0.06700242 | 0.07780622
  78 | 0.07616490 | 0.01585102 | 0.04812129 | 0.10941476 | 0.06877129 | 0.08355851
  79 | 0.08672574 | 0.01299662 | 0.07080201 | 0.10837438 | 0.08066355 | 0.09278793
  80 | 0.09075047 | 0.01489831 | 0.06591958 | 0.12673392 | 0.08380125 | 0.09769969
  81 | 0.09709483 | 0.01029885 | 0.07543641 | 0.11417817 | 0.09229100 | 0.10189866
  82 | 0.11065428 | 0.01571564 | 0.08221797 | 0.13455657 | 0.10332381 | 0.11798474
  83 | 0.11985644 | 0.01263778 | 0.09412470 | 0.14150385 | 0.11396162 | 0.12575125
  84 | 0.12581767 | 0.01265655 | 0.09681299 | 0.15432099 | 0.11991410 | 0.13172124
  85 | 0.13007650 | 0.01797758 | 0.09483794 | 0.16056338 | 0.12169097 | 0.13846202
  86 | 0.14328661 | 0.02240821 | 0.08680143 | 0.18592677 | 0.13283444 | 0.15373878
  87 | 0.14409642 | 0.01538871 | 0.12117715 | 0.16974790 | 0.13691845 | 0.15127439
  88 | 0.15343427 | 0.00962768 | 0.13344788 | 0.16685780 | 0.14894350 | 0.15792504
  89 | 0.15677527 | 0.01673320 | 0.11649366 | 0.18909710 | 0.14897017 | 0.16458036
  90 | 0.17528389 | 0.01808584 | 0.14309670 | 0.21273032 | 0.16684786 | 0.18371992
  91 | 0.18286154 | 0.01637318 | 0.15409483 | 0.20491346 | 0.17522437 | 0.19049871
  92 | 0.19157188 | 0.01585775 | 0.16260623 | 0.22204214 | 0.18417513 | 0.19896863
  93 | 0.19546670 | 0.02060694 | 0.16258352 | 0.24487651 | 0.18585472 | 0.20507868
  94 | 0.19422593 | 0.02574762 | 0.16158373 | 0.26379401 | 0.18221611 | 0.20623575
  95 | 0.21200967 | 0.01831704 | 0.18938234 | 0.25344916 | 0.20346580 | 0.22055354
  96 | 0.21472635 | 0.01671483 | 0.18333333 | 0.25063291 | 0.20692982 | 0.22252288
  97 | 0.22196616 | 0.02159501 | 0.19198312 | 0.26866430 | 0.21189330 | 0.23203902
  98 | 0.21961928 | 0.01602714 | 0.18910256 | 0.24598394 | 0.21214352 | 0.22709504
  99 | 0.24070290 | 0.01934644 | 0.20758693 | 0.28529121 | 0.23167887 | 0.24972693
 100 | 0.24137640 | 0.01848204 | 0.18904959 | 0.27368952 | 0.23275557 | 0.24999724
 101 | 0.25643885 | 0.01994775 | 0.22972292 | 0.29056965 | 0.24713434 | 0.26574335
 102 | 0.26642548 | 0.01758280 | 0.22848361 | 0.30274779 | 0.25822409 | 0.27462687
 103 | 0.26412749 | 0.01498190 | 0.23371457 | 0.29874942 | 0.25713927 | 0.27111570
 104 | 0.27076063 | 0.02507576 | 0.21846154 | 0.32695002 | 0.25906420 | 0.28245706
 105 | 0.28099828 | 0.01772063 | 0.24599434 | 0.31190150 | 0.27273260 | 0.28926395
 106 | 0.29282979 | 0.01831702 | 0.25414634 | 0.32777778 | 0.28428593 | 0.30137365
