# MÉDIAS E ESTATÍSTICAS - PSO
# Requisição 4: [4,11]
# Chamadas por load: 1000
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.79875000 | 0.01446980 | 0.76875000 | 0.82500000 | 0.79200065 | 0.80549935
   2 | 0.80562500 | 0.01396144 | 0.78125000 | 0.83750000 | 0.79911277 | 0.81213723
   3 | 0.79625000 | 0.00870524 | 0.78125000 | 0.81875000 | 0.79218949 | 0.80031051
   4 | 0.79812500 | 0.01569982 | 0.77500000 | 0.84375000 | 0.79080192 | 0.80544808
   5 | 0.79937500 | 0.01579903 | 0.76875000 | 0.84375000 | 0.79200564 | 0.80674436
   6 | 0.80031250 | 0.01272838 | 0.78125000 | 0.82500000 | 0.79437543 | 0.80624957
   7 | 0.80093750 | 0.01344477 | 0.78125000 | 0.83750000 | 0.79466627 | 0.80720873
   8 | 0.80031250 | 0.01054659 | 0.78125000 | 0.81875000 | 0.79539311 | 0.80523189
   9 | 0.79718750 | 0.01647382 | 0.77500000 | 0.83750000 | 0.78950339 | 0.80487161
  10 | 0.79718750 | 0.01241770 | 0.76250000 | 0.81250000 | 0.79139534 | 0.80297966
  11 | 0.80218750 | 0.01645009 | 0.77500000 | 0.83750000 | 0.79451446 | 0.80986054
  12 | 0.79906250 | 0.01358926 | 0.77500000 | 0.83750000 | 0.79272387 | 0.80540113
  13 | 0.79562500 | 0.00990186 | 0.78125000 | 0.81875000 | 0.79100634 | 0.80024366
  14 | 0.79843750 | 0.01167178 | 0.78125000 | 0.82500000 | 0.79299327 | 0.80388173
  15 | 0.79968750 | 0.00936979 | 0.78125000 | 0.81875000 | 0.79531702 | 0.80405798
  16 | 0.79500000 | 0.01319920 | 0.77500000 | 0.82500000 | 0.78884332 | 0.80115668
  17 | 0.79343750 | 0.01418006 | 0.77500000 | 0.82500000 | 0.78682330 | 0.80005170
  18 | 0.80250000 | 0.01761125 | 0.76875000 | 0.83750000 | 0.79428534 | 0.81071466
  19 | 0.79937500 | 0.01184206 | 0.77500000 | 0.81875000 | 0.79385134 | 0.80489866
  20 | 0.79781250 | 0.01050948 | 0.77500000 | 0.81250000 | 0.79291042 | 0.80271458
  21 | 0.80156250 | 0.01323983 | 0.77500000 | 0.82500000 | 0.79538687 | 0.80773813
  22 | 0.79312500 | 0.01167596 | 0.78125000 | 0.83125000 | 0.78767882 | 0.79857118
  23 | 0.79562500 | 0.01066170 | 0.77500000 | 0.81875000 | 0.79065192 | 0.80059808
  24 | 0.79531250 | 0.01309148 | 0.76875000 | 0.81875000 | 0.78920606 | 0.80141894
  25 | 0.80093750 | 0.01013098 | 0.78125000 | 0.82500000 | 0.79621197 | 0.80566303
  26 | 0.79656250 | 0.01126301 | 0.78125000 | 0.81875000 | 0.79130894 | 0.80181606
  27 | 0.79906250 | 0.01428983 | 0.77500000 | 0.83750000 | 0.79239710 | 0.80572790
