# PSO - Todas as requisições
# Load | [0,12] | [2,6] | [5,10] | [4,11] | [3,8] | Média
1 | 0.000000 | 0.000000 | 0.000000 | 0.798750 | 0.000000 | 0.159750
2 | 0.000000 | 0.000000 | 0.000000 | 0.805625 | 0.000000 | 0.161125
3 | 0.000000 | 0.000000 | 0.000000 | 0.796250 | 0.000000 | 0.159250
4 | 0.000000 | 0.000000 | 0.000000 | 0.798125 | 0.000000 | 0.159625
5 | 0.000000 | 0.000000 | 0.000000 | 0.799375 | 0.000000 | 0.159875
6 | 0.000000 | 0.000000 | 0.000000 | 0.800313 | 0.000000 | 0.160063
7 | 0.000000 | 0.000000 | 0.000000 | 0.800938 | 0.000000 | 0.160188
8 | 0.000000 | 0.000000 | 0.000000 | 0.800313 | 0.000000 | 0.160063
9 | 0.000000 | 0.000000 | 0.000000 | 0.797187 | 0.000000 | 0.159437
10 | 0.000000 | 0.000000 | 0.000000 | 0.797188 | 0.000000 | 0.159438
11 | 0.000000 | 0.000000 | 0.000000 | 0.802188 | 0.000000 | 0.160438
12 | 0.000000 | 0.000000 | 0.000000 | 0.799063 | 0.000000 | 0.159812
13 | 0.000000 | 0.000000 | 0.000000 | 0.795625 | 0.000000 | 0.159125
14 | 0.000000 | 0.000000 | 0.000000 | 0.798437 | 0.000000 | 0.159687
15 | 0.000000 | 0.000000 | 0.000000 | 0.799687 | 0.000000 | 0.159938
16 | 0.000000 | 0.000000 | 0.000000 | 0.795000 | 0.000000 | 0.159000
17 | 0.000000 | 0.000000 | 0.000000 | 0.793438 | 0.000000 | 0.158688
18 | 0.000000 | 0.000000 | 0.000000 | 0.802500 | 0.000000 | 0.160500
19 | 0.000000 | 0.000000 | 0.000000 | 0.799375 | 0.000000 | 0.159875
20 | 0.000000 | 0.000000 | 0.000000 | 0.797812 | 0.000000 | 0.159562
21 | 0.000000 | 0.000000 | 0.000000 | 0.801562 | 0.000000 | 0.160312
22 | 0.000000 | 0.000000 | 0.000000 | 0.793125 | 0.000000 | 0.158625
23 | 0.000000 | 0.000000 | 0.000000 | 0.795625 | 0.000000 | 0.159125
24 | 0.000000 | 0.000000 | 0.000000 | 0.795313 | 0.000000 | 0.159063
25 | 0.000000 | 0.000000 | 0.000000 | 0.800937 | 0.000000 | 0.160187
26 | 0.000000 | 0.000000 | 0.000000 | 0.796563 | 0.000000 | 0.159313
27 | 0.000000 | 0.000000 | 0.000000 | 0.799063 | 0.000000 | 0.159812
28 | 0.000000 | 0.000000 | 0.000000 | 0.803438 | 0.000000 | 0.160688
29 | 0.000000 | 0.000000 | 0.000000 | 0.797813 | 0.000000 | 0.159563
30 | 0.000000 | 0.000000 | 0.000000 | 0.795000 | 0.000000 | 0.159000
31 | 0.000000 | 0.000000 | 0.000000 | 0.798437 | 0.000000 | 0.159687
32 | 0.000000 | 0.000000 | 0.000000 | 0.797187 | 0.000000 | 0.159437
33 | 0.000000 | 0.000000 | 0.000000 | 0.800625 | 0.000000 | 0.160125
34 | 0.000000 | 0.000000 | 0.000000 | 0.794063 | 0.000000 | 0.158813
35 | 0.000000 | 0.000000 | 0.000000 | 0.793750 | 0.000000 | 0.158750
36 | 0.000000 | 0.000000 | 0.000000 | 0.799688 | 0.000000 | 0.159938
37 | 0.000000 | 0.000000 | 0.000000 | 0.794063 | 0.000000 | 0.158813
38 | 0.000000 | 0.000000 | 0.000000 | 0.798438 | 0.000000 | 0.159688
39 | 0.000000 | 0.000000 | 0.000000 | 0.795625 | 0.000000 | 0.159125
40 | 0.000000 | 0.000000 | 0.000000 | 0.795625 | 0.000000 | 0.159125
41 | 0.000000 | 0.000000 | 0.000000 | 0.802187 | 0.000000 | 0.160437
42 | 0.000000 | 0.000000 | 0.000000 | 0.800937 | 0.000000 | 0.160187
43 | 0.000000 | 0.000000 | 0.000000 | 0.801875 | 0.000000 | 0.160375
44 | 0.000000 | 0.000000 | 0.000000 | 0.797500 | 0.000000 | 0.159500
45 | 0.000000 | 0.000000 | 0.000000 | 0.795312 | 0.000000 | 0.159062
46 | 0.000000 | 0.000000 | 0.000000 | 0.798125 | 0.000000 | 0.159625
47 | 0.000000 | 0.000000 | 0.000000 | 0.801250 | 0.000000 | 0.160250
48 | 0.000000 | 0.000000 | 0.000000 | 0.800000 | 0.000000 | 0.160000
49 | 0.000000 | 0.000000 | 0.000000 | 0.797813 | 0.000000 | 0.159562
50 | 0.000000 | 0.000000 | 0.000000 | 0.795625 | 0.000000 | 0.159125
51 | 0.000000 | 0.000000 | 0.000000 | 0.798438 | 0.000000 | 0.159688
52 | 0.000000 | 0.000000 | 0.000000 | 0.796562 | 0.000000 | 0.159312
53 | 0.000000 | 0.000000 | 0.000000 | 0.800313 | 0.000000 | 0.160063
54 | 0.000000 | 0.000000 | 0.000000 | 0.800625 | 0.000000 | 0.160125
55 | 0.000000 | 0.000000 | 0.000000 | 0.799687 | 0.000000 | 0.159937
56 | 0.000000 | 0.000000 | 0.000000 | 0.801250 | 0.000000 | 0.160250
57 | 0.000000 | 0.000000 | 0.000000 | 0.803125 | 0.000000 | 0.160625
58 | 0.000000 | 0.000000 | 0.000000 | 0.796875 | 0.000000 | 0.159375
59 | 0.000000 | 0.000000 | 0.000000 | 0.795312 | 0.000000 | 0.159062
60 | 0.000000 | 0.000000 | 0.000000 | 0.796875 | 0.000000 | 0.159375
61 | 0.000000 | 0.000000 | 0.000000 | 0.797187 | 0.000000 | 0.159437
62 | 0.000000 | 0.000000 | 0.000000 | 0.798125 | 0.000000 | 0.159625
63 | 0.000000 | 0.000000 | 0.000000 | 0.798750 | 0.000000 | 0.159750
64 | 0.000000 | 0.000000 | 0.000000 | 0.798438 | 0.000000 | 0.159688
65 | 0.000000 | 0.000000 | 0.000000 | 0.798438 | 0.000000 | 0.159688
66 | 0.000000 | 0.000000 | 0.000000 | 0.796250 | 0.000000 | 0.159250
67 | 0.000000 | 0.000000 | 0.000000 | 0.801875 | 0.000000 | 0.160375
68 | 0.000000 | 0.000000 | 0.000000 | 0.803125 | 0.000000 | 0.160625
69 | 0.000000 | 0.000000 | 0.000000 | 0.798125 | 0.000000 | 0.159625
70 | 0.000000 | 0.000000 | 0.000000 | 0.803125 | 0.000000 | 0.160625
71 | 0.000000 | 0.000000 | 0.000000 | 0.797500 | 0.000000 | 0.159500
72 | 0.000000 | 0.000000 | 0.000000 | 0.800937 | 0.000000 | 0.160187
73 | 0.000000 | 0.000000 | 0.000000 | 0.795937 | 0.000000 | 0.159187
74 | 0.000000 | 0.000000 | 0.000000 | 0.795000 | 0.000000 | 0.159000
75 | 0.000000 | 0.000000 | 0.000000 | 0.797813 | 0.000000 | 0.159562
76 | 0.000000 | 0.000000 | 0.000000 | 0.797813 | 0.000000 | 0.159563
