=== PSO - REQUISIÇÃO [4,11] ===

PARÂMETROS:
  k (rotas): 150
  Wavelengths: 40
  Índice rota selecionada: 0
  Loads: 1 a 200
  Simulações/load: 20
  Unidades de tempo: 1000
  Duração média chamadas: 10.0

RESULTADOS (Probabilidade de Bloqueio):
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000052
97	0.000000
98	0.000000
99	0.000000
100	0.000025
101	0.000000
102	0.000000
103	0.000146
104	0.000096
105	0.000094
106	0.000000
107	0.000187
108	0.000301
109	0.000000
110	0.000091
111	0.000250
112	0.000267
113	0.000022
114	0.000548
115	0.000565
116	0.000559
117	0.000342
118	0.000233
119	0.000315
120	0.000859
121	0.000810
122	0.000723
123	0.001543
124	0.001154
125	0.001610
126	0.001412
127	0.002057
128	0.001629
129	0.003136
130	0.002943
131	0.003756
132	0.002615
133	0.003316
134	0.004260
135	0.004524
136	0.004791
137	0.004269
138	0.005832
139	0.005971
140	0.007157
141	0.006839
142	0.007798
143	0.008731
144	0.009081
145	0.008787
146	0.012574
147	0.009887
148	0.009452
149	0.015176
150	0.014255
151	0.012773
152	0.015863
153	0.015871
154	0.019169
155	0.021945
156	0.022113
157	0.019274
158	0.024598
159	0.022856
160	0.024407
161	0.023620
162	0.026282
163	0.032000
164	0.032516
165	0.034814
166	0.035925
167	0.037920
168	0.041081
169	0.041921
170	0.044835
171	0.047208
172	0.049350
173	0.050947
174	0.053124
175	0.051563
176	0.051543
177	0.060377
178	0.059572
179	0.064341
180	0.062613
181	0.067762
182	0.067417
183	0.071143
184	0.069981
185	0.077498
186	0.080474
187	0.080134
188	0.084875
189	0.085951
190	0.085816
191	0.086204
192	0.091680
193	0.096517
194	0.095846
195	0.101811
196	0.100955
197	0.104947
198	0.111487
199	0.116567
200	0.112908
