# MÉDIAS E ESTATÍSTICAS
# Requisição 5: [3,8]
# Modo: SEPARADO
# ============================================================
# Load | Média | DesvioPadrão | Mínimo | Máximo | IC 95% (inferior) | IC 95% (superior)
# ============================================================
   1 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   2 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   3 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   4 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   5 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   6 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   7 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   8 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
   9 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  10 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  11 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  12 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  13 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  14 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  15 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  16 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  17 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  18 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  19 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  20 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000 | 0.00000000
  21 | 0.00007282 | 0.00031740 | 0.00000000 | 0.00145631 | -0.00007523 | 0.00022086
  22 | 0.00006800 | 0.00029639 | 0.00000000 | 0.00135993 | -0.00007025 | 0.00020625
  23 | 0.00055203 | 0.00120799 | 0.00000000 | 0.00543933 | -0.00001143 | 0.00111550
  24 | 0.00054453 | 0.00069003 | 0.00000000 | 0.00252313 | 0.00022267 | 0.00086638
  25 | 0.00123020 | 0.00113479 | 0.00000000 | 0.00436681 | 0.00070088 | 0.00175951
  26 | 0.00288125 | 0.00212936 | 0.00000000 | 0.00697134 | 0.00188803 | 0.00387448
  27 | 0.00361909 | 0.00262606 | 0.00000000 | 0.00885637 | 0.00239418 | 0.00484400
  28 | 0.00608078 | 0.00286912 | 0.00143421 | 0.01390374 | 0.00474249 | 0.00741906
  29 | 0.00940384 | 0.00541525 | 0.00104639 | 0.02433410 | 0.00687793 | 0.01192975
  30 | 0.01390204 | 0.00603067 | 0.00272944 | 0.02650291 | 0.01108907 | 0.01671501
  31 | 0.01834589 | 0.00826346 | 0.00298013 | 0.03540942 | 0.01449145 | 0.02220033
  32 | 0.02821154 | 0.00863628 | 0.00712897 | 0.04019638 | 0.02418320 | 0.03223988
  33 | 0.03299980 | 0.00651472 | 0.02015748 | 0.04261705 | 0.02996105 | 0.03603855
  34 | 0.04258945 | 0.00564530 | 0.03167421 | 0.05399883 | 0.03995624 | 0.04522267
  35 | 0.05259361 | 0.01018567 | 0.03751465 | 0.07465619 | 0.04784257 | 0.05734465
  36 | 0.06563706 | 0.01484856 | 0.04548105 | 0.10010764 | 0.05871104 | 0.07256307
  37 | 0.07549264 | 0.01279725 | 0.05566434 | 0.10363392 | 0.06952344 | 0.08146184
  38 | 0.09304709 | 0.01283295 | 0.07434748 | 0.11817254 | 0.08706124 | 0.09903294
  39 | 0.10228687 | 0.01190210 | 0.08687852 | 0.12708861 | 0.09673521 | 0.10783853
  40 | 0.11565885 | 0.01398529 | 0.08935065 | 0.14003945 | 0.10913549 | 0.12218220
  41 | 0.11792026 | 0.00936537 | 0.10214127 | 0.13189569 | 0.11355184 | 0.12228868
  42 | 0.14153311 | 0.01125187 | 0.12161509 | 0.17117944 | 0.13628474 | 0.14678147
  43 | 0.15316931 | 0.01145964 | 0.12636430 | 0.17051013 | 0.14782403 | 0.15851459
  44 | 0.17343746 | 0.01362040 | 0.15325222 | 0.21234676 | 0.16708431 | 0.17979061
  45 | 0.17998983 | 0.01009102 | 0.15581448 | 0.19571397 | 0.17528294 | 0.18469673
  46 | 0.19446965 | 0.01421316 | 0.16487455 | 0.21986272 | 0.18784001 | 0.20109929
  47 | 0.20290210 | 0.01256024 | 0.17671382 | 0.22404717 | 0.19704345 | 0.20876074
  48 | 0.22615903 | 0.01187331 | 0.20423280 | 0.25787728 | 0.22062080 | 0.23169726
  49 | 0.23690765 | 0.01499760 | 0.20163488 | 0.27036887 | 0.22991211 | 0.24390319
  50 | 0.24906909 | 0.01150017 | 0.22705216 | 0.28214707 | 0.24370491 | 0.25443327
  51 | 0.26005988 | 0.01340913 | 0.23755924 | 0.29282407 | 0.25380528 | 0.26631449
  52 | 0.27399136 | 0.01015271 | 0.24784483 | 0.28967877 | 0.26925569 | 0.27872702
  53 | 0.28038982 | 0.01394418 | 0.25224365 | 0.31052825 | 0.27388565 | 0.28689400
  54 | 0.29346208 | 0.01172775 | 0.27195628 | 0.31862475 | 0.28799175 | 0.29893242
  55 | 0.30533218 | 0.01149187 | 0.28118590 | 0.33220399 | 0.29997187 | 0.31069250
  56 | 0.31791792 | 0.01458111 | 0.29348421 | 0.34753521 | 0.31111665 | 0.32471919
  57 | 0.32585493 | 0.01268784 | 0.30220470 | 0.34818797 | 0.31993677 | 0.33177310
  58 | 0.33365340 | 0.01074248 | 0.31129089 | 0.35202864 | 0.32864263 | 0.33866416
  59 | 0.34695300 | 0.01331427 | 0.32236389 | 0.37296935 | 0.34074264 | 0.35316336
  60 | 0.35519678 | 0.00703861 | 0.34046136 | 0.37075503 | 0.35191366 | 0.35847990
  61 | 0.35919801 | 0.01082115 | 0.33858268 | 0.37723287 | 0.35415055 | 0.36424547
  62 | 0.37613398 | 0.01230071 | 0.35062173 | 0.40413622 | 0.37039639 | 0.38187157
  63 | 0.38537033 | 0.01362280 | 0.35259092 | 0.40434577 | 0.37901606 | 0.39172460
  64 | 0.39921739 | 0.01201464 | 0.37878310 | 0.42253091 | 0.39361324 | 0.40482155
  65 | 0.40563877 | 0.01139906 | 0.38405004 | 0.42284418 | 0.40032175 | 0.41095579
  66 | 0.41099762 | 0.01003925 | 0.37934800 | 0.43118715 | 0.40631488 | 0.41568037
  67 | 0.42088095 | 0.01035013 | 0.40026420 | 0.44039146 | 0.41605320 | 0.42570871
  68 | 0.42822715 | 0.00943692 | 0.40678470 | 0.44827586 | 0.42382536 | 0.43262895
  69 | 0.43688492 | 0.00931445 | 0.41816560 | 0.45388179 | 0.43254025 | 0.44122959
  70 | 0.44568469 | 0.00993843 | 0.42871705 | 0.46456140 | 0.44104897 | 0.45032041
  71 | 0.44891910 | 0.00915856 | 0.42470487 | 0.46228778 | 0.44464715 | 0.45319105
  72 | 0.45408169 | 0.01078534 | 0.43035075 | 0.46676614 | 0.44905093 | 0.45911244
  73 | 0.46390973 | 0.00599035 | 0.45403170 | 0.47726970 | 0.46111557 | 0.46670389
  74 | 0.47348535 | 0.00808833 | 0.46281667 | 0.49070924 | 0.46971260 | 0.47725810
  75 | 0.47465234 | 0.01070012 | 0.45051659 | 0.49264706 | 0.46966133 | 0.47964334
  76 | 0.48258001 | 0.00985199 | 0.46548696 | 0.50325131 | 0.47798461 | 0.48717541
  77 | 0.49292567 | 0.00895545 | 0.47526042 | 0.50876967 | 0.48874846 | 0.49710288
  78 | 0.49620341 | 0.01089758 | 0.46826736 | 0.51766046 | 0.49112030 | 0.50128652
  79 | 0.50105345 | 0.01053092 | 0.48009307 | 0.51849047 | 0.49614136 | 0.50596553
  80 | 0.50366787 | 0.00794233 | 0.48462814 | 0.51743745 | 0.49996322 | 0.50737252
  81 | 0.51296881 | 0.00848149 | 0.49372962 | 0.53397817 | 0.50901267 | 0.51692495
  82 | 0.51582120 | 0.00913336 | 0.49601667 | 0.53036876 | 0.51156100 | 0.52008140
  83 | 0.52322587 | 0.00858218 | 0.50411523 | 0.53584998 | 0.51922277 | 0.52722898
  84 | 0.52616474 | 0.00729386 | 0.51503174 | 0.53876668 | 0.52276257 | 0.52956692
  85 | 0.53483740 | 0.00796047 | 0.51807517 | 0.54919749 | 0.53112429 | 0.53855052
  86 | 0.54354596 | 0.00850461 | 0.52557485 | 0.55698382 | 0.53957904 | 0.54751288
  87 | 0.54984047 | 0.00837809 | 0.53473684 | 0.56475801 | 0.54593257 | 0.55374838
  88 | 0.55151024 | 0.00826207 | 0.53808382 | 0.57096303 | 0.54765646 | 0.55536403
  89 | 0.55707441 | 0.00653915 | 0.54105406 | 0.56809995 | 0.55402427 | 0.56012456
  90 | 0.56319761 | 0.00960753 | 0.54556664 | 0.58552273 | 0.55871624 | 0.56767898
  91 | 0.56277712 | 0.00803977 | 0.54737424 | 0.57964843 | 0.55902702 | 0.56652722
  92 | 0.57239488 | 0.00880633 | 0.56047069 | 0.59030979 | 0.56828722 | 0.57650254
  93 | 0.57522161 | 0.00842973 | 0.55966549 | 0.59322215 | 0.57128961 | 0.57915360
  94 | 0.58307120 | 0.00922584 | 0.56784027 | 0.60002087 | 0.57876786 | 0.58737453
  95 | 0.58148285 | 0.00642724 | 0.57178032 | 0.59658682 | 0.57848491 | 0.58448080
  96 | 0.58700043 | 0.00715821 | 0.57425214 | 0.59956395 | 0.58366152 | 0.59033933
  97 | 0.59098419 | 0.00701088 | 0.57975396 | 0.60199671 | 0.58771401 | 0.59425437
  98 | 0.59774339 | 0.00581662 | 0.58768257 | 0.60948466 | 0.59503026 | 0.60045652
  99 | 0.60032357 | 0.00616551 | 0.58960905 | 0.61639809 | 0.59744771 | 0.60319944
 100 | 0.60556354 | 0.00873292 | 0.59467337 | 0.62143773 | 0.60149013 | 0.60963696
 101 | 0.60826998 | 0.00603227 | 0.59430177 | 0.61596327 | 0.60545627 | 0.61108370
 102 | 0.60812332 | 0.00687434 | 0.59507919 | 0.62137891 | 0.60491682 | 0.61132981
 103 | 0.61312514 | 0.00787090 | 0.59970458 | 0.63343837 | 0.60945380 | 0.61679647
 104 | 0.62086046 | 0.00656276 | 0.60496943 | 0.63000478 | 0.61779930 | 0.62392162
 105 | 0.62135360 | 0.00759081 | 0.60504283 | 0.63054004 | 0.61781292 | 0.62489429
 106 | 0.62617449 | 0.00936250 | 0.61050142 | 0.64543505 | 0.62180741 | 0.63054157
