=== YEN 2 ROTAS ALEATÓRIAS - REQUISIÇÃO [0,12] ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Número de lambdas: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Loads testados: 1 a 200
  Chamadas por load: 1000
  Simulações por load: 20
  Duração das chamadas: 5.0 a 15.0 unidades

RESULTADOS (Probabilidade de Bloqueio):
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000625
70	0.000000
71	0.000000
72	0.001875
73	0.000938
74	0.000313
75	0.001250
76	0.001875
77	0.001563
78	0.000625
79	0.003438
80	0.001875
81	0.003438
82	0.002812
83	0.006250
84	0.005938
85	0.010625
86	0.011250
87	0.011875
88	0.013750
89	0.018750
90	0.025625
91	0.017500
92	0.021250
93	0.031563
94	0.036875
95	0.041875
96	0.041875
97	0.041250
98	0.050313
99	0.060313
100	0.067500
101	0.065312
102	0.072188
103	0.078438
104	0.082500
105	0.092188
106	0.088438
107	0.102500
108	0.109688
109	0.117188
110	0.120938
111	0.122187
112	0.134063
113	0.125937
114	0.144375
115	0.145625
116	0.156250
117	0.171875
118	0.162812
119	0.178125
120	0.183125
121	0.196875
122	0.202500
123	0.185313
124	0.186563
125	0.203125
126	0.221875
127	0.228125
128	0.236563
129	0.238437
130	0.242813
131	0.238437
132	0.245000
133	0.258750
134	0.269375
135	0.267500
136	0.269062
137	0.283750
138	0.281875
139	0.291875
140	0.305000
141	0.305625
142	0.296250
143	0.303437
144	0.314375
145	0.330937
146	0.320937
147	0.324063
148	0.334688
149	0.343438
150	0.341875
151	0.349688
152	0.349687
153	0.358125
154	0.365313
155	0.352187
156	0.358750
157	0.375625
158	0.379688
159	0.397500
160	0.387813
161	0.379062
162	0.404687
163	0.409062
164	0.405312
165	0.410313
166	0.401875
167	0.415937
168	0.431562
169	0.413437
170	0.430312
171	0.428125
172	0.438750
173	0.432812
174	0.438125
175	0.426875
176	0.451562
177	0.450313
178	0.457500
179	0.471563
180	0.467500
181	0.453125
182	0.466875
183	0.469688
184	0.470313
185	0.461875
186	0.480000
187	0.489687
188	0.500000
189	0.505937
190	0.485938
191	0.504375
192	0.495312
193	0.501875
194	0.502812
195	0.515625
196	0.511875
197	0.517187
198	0.513750
199	0.518750
200	0.506250
