=== PSO k=83 - REQUISIÇÃO [3,8] ===

PARÂMETROS:
  Wavelengths: 80
  Rota selecionada: 0
  Total rotas disponíveis: 14
  Loads: 1 a 400
  Calls/load: 1000
  Rodadas/load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
100	0.000000
101	0.000000
102	0.000000
103	0.000000
104	0.000000
105	0.000000
106	0.000000
107	0.000000
108	0.000000
109	0.000000
110	0.000000
111	0.000000
112	0.000000
113	0.000000
114	0.000000
115	0.000000
116	0.000000
117	0.000000
118	0.000000
119	0.000000
120	0.000000
121	0.000000
122	0.000000
123	0.000000
124	0.000000
125	0.000000
126	0.000000
127	0.000000
128	0.000000
129	0.000000
130	0.000000
131	0.000000
132	0.000000
133	0.000000
134	0.000000
135	0.000000
136	0.000000
137	0.000000
138	0.000000
139	0.000000
140	0.000000
141	0.000000
142	0.000000
143	0.000000
144	0.000000
145	0.000000
146	0.000000
147	0.000000
148	0.000000
149	0.000000
150	0.000000
151	0.000000
152	0.000000
153	0.000000
154	0.000000
155	0.000000
156	0.000000
157	0.000000
158	0.000000
159	0.000000
160	0.000000
161	0.000000
162	0.000000
163	0.000000
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000000
170	0.000000
171	0.000000
172	0.000000
173	0.000000
174	0.000313
175	0.000000
176	0.000000
177	0.000000
178	0.000000
179	0.000000
180	0.000000
181	0.000000
182	0.000000
183	0.000000
184	0.000000
185	0.000000
186	0.000000
187	0.000000
188	0.000000
189	0.000000
190	0.000313
191	0.000313
192	0.000625
193	0.000625
194	0.000000
195	0.001250
196	0.000000
197	0.001563
198	0.000937
199	0.000625
200	0.001250
201	0.001250
202	0.000625
203	0.001875
204	0.001250
205	0.002500
206	0.000937
207	0.002188
208	0.003750
209	0.005313
210	0.004375
211	0.003438
212	0.003750
213	0.005000
214	0.003125
215	0.002812
216	0.001563
217	0.003438
218	0.009375
219	0.002812
220	0.006250
221	0.007500
222	0.006250
223	0.005938
224	0.004687
225	0.008750
226	0.007812
227	0.006250
228	0.004687
229	0.009687
230	0.007188
231	0.008125
232	0.008750
233	0.017188
234	0.010313
235	0.008438
236	0.014375
237	0.009687
238	0.016250
239	0.011250
240	0.012812
241	0.016563
242	0.006250
243	0.015625
244	0.010625
245	0.015625
246	0.013437
247	0.020938
248	0.017188
249	0.021562
250	0.017500
251	0.022500
252	0.020000
253	0.020313
254	0.025625
255	0.027813
256	0.021562
257	0.013125
258	0.016875
259	0.015938
260	0.020000
261	0.024063
262	0.021562
263	0.027500
264	0.020938
265	0.028750
266	0.028438
267	0.027187
268	0.027813
269	0.034375
270	0.026562
271	0.034688
272	0.028438
273	0.035625
274	0.040625
275	0.038125
276	0.033125
277	0.029063
278	0.030312
279	0.035625
280	0.035000
281	0.036562
282	0.042813
283	0.036250
284	0.038125
285	0.048750
286	0.047500
287	0.034063
288	0.036250
289	0.044062
290	0.040938
291	0.042813
292	0.045625
293	0.045625
294	0.049688
295	0.045937
296	0.041250
297	0.046250
298	0.046250
299	0.045000
300	0.043125
301	0.050000
302	0.056250
303	0.057188
304	0.046562
305	0.046875
306	0.061875
307	0.060000
308	0.057188
309	0.059375
310	0.063125
311	0.068750
312	0.060625
313	0.068750
314	0.076563
315	0.067187
316	0.069375
317	0.066562
318	0.066875
319	0.061875
320	0.075938
321	0.055000
322	0.073750
323	0.068437
324	0.075625
325	0.069062
326	0.076875
327	0.080312
328	0.082812
329	0.082812
330	0.073438
331	0.068125
332	0.084062
333	0.085625
334	0.074688
335	0.078750
336	0.087188
337	0.082812
338	0.087188
339	0.089063
340	0.089063
341	0.085625
342	0.099062
343	0.106875
344	0.104688
345	0.092813
346	0.107813
347	0.098125
348	0.102188
349	0.098750
350	0.091875
351	0.107813
352	0.106563
353	0.105625
354	0.116875
355	0.102813
356	0.109375
357	0.103125
358	0.116562
359	0.115000
360	0.108438
361	0.114062
362	0.112812
363	0.109063
364	0.117813
365	0.120313
366	0.128438
367	0.125312
368	0.118438
369	0.117813
370	0.125938
371	0.126250
372	0.122188
373	0.125625
374	0.128438
375	0.125938
376	0.138125
377	0.120625
378	0.137500
379	0.128750
380	0.134063
381	0.134687
382	0.132812
383	0.138437
384	0.145937
385	0.130000
386	0.145313
387	0.130625
388	0.148750
389	0.141875
390	0.159375
391	0.148750
392	0.135313
393	0.144687
394	0.153438
395	0.154375
396	0.147500
397	0.153438
398	0.152188
399	0.152812
400	0.152500
