=== PSO - REQUISIÇÃO [0,12] ===

PARÂMETROS:
  Wavelengths: 80
  Rota selecionada: 0
  Total rotas disponíveis: 83
  Loads: 1 a 400
  Calls/load: 1000
  Rodadas/load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
100	0.000000
101	0.000000
102	0.000000
103	0.000000
104	0.000000
105	0.000000
106	0.000000
107	0.000000
108	0.000000
109	0.000000
110	0.000000
111	0.000000
112	0.000000
113	0.000000
114	0.000000
115	0.000000
116	0.000000
117	0.000000
118	0.000000
119	0.000000
120	0.000000
121	0.000000
122	0.000000
123	0.000000
124	0.000000
125	0.000000
126	0.000000
127	0.000000
128	0.000000
129	0.000000
130	0.000000
131	0.000000
132	0.000000
133	0.000000
134	0.000000
135	0.000000
136	0.000000
137	0.000000
138	0.000000
139	0.000000
140	0.000000
141	0.000000
142	0.000000
143	0.000000
144	0.000000
145	0.000000
146	0.000000
147	0.000000
148	0.000000
149	0.000000
150	0.000000
151	0.000000
152	0.000000
153	0.000000
154	0.000000
155	0.000000
156	0.000000
157	0.000000
158	0.000000
159	0.000000
160	0.000000
161	0.000000
162	0.000000
163	0.000000
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000000
170	0.000000
171	0.000000
172	0.000000
173	0.000000
174	0.000000
175	0.000000
176	0.000000
177	0.000000
178	0.000000
179	0.000000
180	0.000000
181	0.000000
182	0.000000
183	0.000000
184	0.000000
185	0.000000
186	0.001563
187	0.000000
188	0.000000
189	0.000000
190	0.000625
191	0.000000
192	0.001875
193	0.000313
194	0.000313
195	0.002188
196	0.000313
197	0.002188
198	0.000000
199	0.002188
200	0.000313
201	0.001250
202	0.001563
203	0.002500
204	0.000313
205	0.003125
206	0.001563
207	0.003750
208	0.008750
209	0.000313
210	0.003125
211	0.007188
212	0.002188
213	0.007188
214	0.008750
215	0.005625
216	0.007812
217	0.010937
218	0.011562
219	0.009375
220	0.012500
221	0.014063
222	0.011875
223	0.015000
224	0.017812
225	0.014063
226	0.015312
227	0.022500
228	0.018437
229	0.023438
230	0.026875
231	0.028125
232	0.029375
233	0.030312
234	0.022187
235	0.029063
236	0.027500
237	0.034375
238	0.032813
239	0.035000
240	0.047500
241	0.044375
242	0.042813
243	0.055313
244	0.052187
245	0.047813
246	0.053750
247	0.053750
248	0.055313
249	0.063125
250	0.056875
251	0.068125
252	0.067812
253	0.062187
254	0.068437
255	0.071250
256	0.071875
257	0.070625
258	0.077813
259	0.078750
260	0.093125
261	0.078750
262	0.082187
263	0.086563
264	0.092500
265	0.086563
266	0.103438
267	0.095000
268	0.096250
269	0.101562
270	0.099375
271	0.099375
272	0.099375
273	0.111250
274	0.115937
275	0.107188
276	0.114687
277	0.114062
278	0.126250
279	0.119688
280	0.127500
281	0.114062
282	0.130000
283	0.131875
284	0.137813
285	0.135937
286	0.134375
287	0.149062
288	0.139063
289	0.143125
290	0.140937
291	0.144375
292	0.161250
293	0.144063
294	0.147813
295	0.155000
296	0.151562
297	0.160625
298	0.170625
299	0.166875
300	0.167813
301	0.170313
302	0.168125
303	0.175625
304	0.171563
305	0.184062
306	0.165313
307	0.190312
308	0.174063
309	0.195000
310	0.189062
311	0.190312
312	0.192500
313	0.187188
314	0.190938
315	0.212188
316	0.194688
317	0.199687
318	0.197813
319	0.200313
320	0.206563
321	0.205313
322	0.207500
323	0.214062
324	0.222188
325	0.218125
326	0.225938
327	0.214688
328	0.216250
329	0.221875
330	0.222500
331	0.238125
332	0.225312
333	0.228125
334	0.222812
335	0.216875
336	0.236563
337	0.239687
338	0.235625
339	0.240313
340	0.243438
341	0.247188
342	0.247812
343	0.252500
344	0.238750
345	0.240313
346	0.250625
347	0.247188
348	0.251250
349	0.243438
350	0.251563
351	0.259062
352	0.261562
353	0.263125
354	0.263125
355	0.258125
356	0.261250
357	0.266562
358	0.260000
359	0.267813
360	0.265313
361	0.273438
362	0.262500
363	0.273125
364	0.277187
365	0.280313
366	0.271562
367	0.275938
368	0.289062
369	0.286875
370	0.285938
371	0.287500
372	0.287813
373	0.297812
374	0.290000
375	0.296875
376	0.286875
377	0.286250
378	0.290000
379	0.292187
380	0.298125
381	0.305625
382	0.300625
383	0.298438
384	0.309063
385	0.307188
386	0.306250
387	0.312500
388	0.317188
389	0.316563
390	0.298125
391	0.304063
392	0.322500
393	0.318125
394	0.322500
395	0.321875
396	0.324375
397	0.330313
398	0.326562
399	0.317500
400	0.313437
