=== PSO  - REQUISIÇÃO [4,11] ===

PARÂMETROS:
  Wavelengths: 80
  Rota selecionada: 0
  Total rotas disponíveis: 83
  Loads: 1 a 400
  Calls/load: 1000
  Rodadas/load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000000
97	0.000000
98	0.000000
99	0.000000
100	0.000000
101	0.000000
102	0.000000
103	0.000000
104	0.000000
105	0.000000
106	0.000000
107	0.000000
108	0.000000
109	0.000000
110	0.000000
111	0.000000
112	0.000000
113	0.000000
114	0.000000
115	0.000000
116	0.000000
117	0.000000
118	0.000000
119	0.000000
120	0.000000
121	0.000000
122	0.000000
123	0.000000
124	0.000000
125	0.000000
126	0.000000
127	0.000000
128	0.000000
129	0.000000
130	0.000000
131	0.000000
132	0.000000
133	0.000000
134	0.000000
135	0.000000
136	0.000000
137	0.000000
138	0.000000
139	0.000000
140	0.000000
141	0.000000
142	0.000000
143	0.000000
144	0.000000
145	0.000000
146	0.000000
147	0.000000
148	0.000000
149	0.000000
150	0.000000
151	0.000000
152	0.000000
153	0.000000
154	0.000000
155	0.000000
156	0.000000
157	0.000000
158	0.000000
159	0.000000
160	0.000000
161	0.000000
162	0.000000
163	0.000000
164	0.000000
165	0.000000
166	0.000000
167	0.000000
168	0.000000
169	0.000000
170	0.000000
171	0.000000
172	0.000000
173	0.000000
174	0.000000
175	0.000000
176	0.000000
177	0.000000
178	0.000000
179	0.000000
180	0.000000
181	0.000000
182	0.000000
183	0.000000
184	0.000000
185	0.000000
186	0.001250
187	0.000000
188	0.000625
189	0.000000
190	0.000313
191	0.000000
192	0.000625
193	0.000313
194	0.000000
195	0.002500
196	0.000937
197	0.000625
198	0.000000
199	0.003125
200	0.000937
201	0.001875
202	0.001875
203	0.003750
204	0.000313
205	0.002500
206	0.001563
207	0.001875
208	0.010000
209	0.001250
210	0.002812
211	0.007812
212	0.003438
213	0.009062
214	0.009375
215	0.003438
216	0.009375
217	0.009375
218	0.010313
219	0.008438
220	0.009375
221	0.010937
222	0.015000
223	0.011875
224	0.019062
225	0.017500
226	0.020313
227	0.019062
228	0.020313
229	0.022812
230	0.023750
231	0.028125
232	0.025937
233	0.030937
234	0.027813
235	0.029687
236	0.033125
237	0.025313
238	0.030625
239	0.033750
240	0.050313
241	0.039375
242	0.042500
243	0.051875
244	0.051562
245	0.051875
246	0.050313
247	0.064375
248	0.050937
249	0.058750
250	0.061875
251	0.059062
252	0.058750
253	0.066875
254	0.070938
255	0.077500
256	0.075938
257	0.080312
258	0.067500
259	0.080312
260	0.083125
261	0.088125
262	0.089688
263	0.097812
264	0.100625
265	0.083125
266	0.095937
267	0.093125
268	0.097500
269	0.103438
270	0.115937
271	0.113750
272	0.111562
273	0.112500
274	0.107188
275	0.108125
276	0.124063
277	0.108750
278	0.128438
279	0.111562
280	0.125625
281	0.129688
282	0.124063
283	0.128750
284	0.136563
285	0.130625
286	0.130000
287	0.133125
288	0.140625
289	0.137813
290	0.153125
291	0.145000
292	0.150625
293	0.151250
294	0.149062
295	0.164687
296	0.146875
297	0.164687
298	0.161250
299	0.164687
300	0.171250
301	0.168750
302	0.180938
303	0.169063
304	0.181562
305	0.166250
306	0.182500
307	0.169687
308	0.182500
309	0.177187
310	0.189062
311	0.183750
312	0.197187
313	0.181250
314	0.186875
315	0.184375
316	0.187500
317	0.190938
318	0.184062
319	0.203437
320	0.215938
321	0.207187
322	0.206875
323	0.213125
324	0.212812
325	0.207813
326	0.209063
327	0.212500
328	0.220938
329	0.220625
330	0.225625
331	0.216562
332	0.215938
333	0.226875
334	0.230625
335	0.230937
336	0.238750
337	0.230937
338	0.247188
339	0.235000
340	0.243750
341	0.236250
342	0.243750
343	0.243125
344	0.251250
345	0.257500
346	0.248438
347	0.249688
348	0.250312
349	0.263750
350	0.266562
351	0.256563
352	0.263125
353	0.261875
354	0.257812
355	0.270625
356	0.269688
357	0.268125
358	0.275625
359	0.265625
360	0.276250
361	0.274687
362	0.282500
363	0.270937
364	0.287500
365	0.272188
366	0.289062
367	0.296563
368	0.284687
369	0.289687
370	0.292187
371	0.297500
372	0.286875
373	0.290312
374	0.300625
375	0.289687
376	0.295312
377	0.300000
378	0.306875
379	0.304688
380	0.299687
381	0.303750
382	0.300312
383	0.309063
384	0.309375
385	0.307812
386	0.316250
387	0.310312
388	0.305000
389	0.317188
390	0.331875
391	0.320312
392	0.308437
393	0.319688
394	0.323750
395	0.332500
396	0.335313
397	0.323437
398	0.335000
399	0.330625
400	0.342813
