=== PSO k=83 - REQUISIÇÃO [1,4] ===

PARÂMETROS:
  Wavelengths: 80
  Rota selecionada: 0
  Total rotas disponíveis: 4
  Loads: 1 a 400
  Calls/load: 1000
  Rodadas/load: 20

RESULTADOS:
Load	Probabilidade
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
11	0.000000
12	0.000000
13	0.000000
14	0.000000
15	0.000000
16	0.000000
17	0.000000
18	0.000000
19	0.000000
20	0.000000
21	0.000000
22	0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
28	0.000000
29	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
38	0.000000
39	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	0.000000
46	0.000000
47	0.000000
48	0.000000
49	0.000000
50	0.000000
51	0.000000
52	0.000000
53	0.000000
54	0.000000
55	0.000000
56	0.000000
57	0.000000
58	0.000000
59	0.000000
60	0.000000
61	0.000000
62	0.000000
63	0.000000
64	0.000000
65	0.000000
66	0.000000
67	0.000000
68	0.000000
69	0.000000
70	0.000000
71	0.000000
72	0.000000
73	0.000000
74	0.000000
75	0.000000
76	0.000000
77	0.000000
78	0.000000
79	0.000000
80	0.000000
81	0.000000
82	0.000000
83	0.000000
84	0.000000
85	0.000000
86	0.000000
87	0.000000
88	0.000000
89	0.000000
90	0.000000
91	0.000000
92	0.000000
93	0.000000
94	0.000000
95	0.000000
96	0.000313
97	0.000313
98	0.000000
99	0.000625
100	0.000625
101	0.002812
102	0.001563
103	0.002812
104	0.001875
105	0.002500
106	0.005000
107	0.007500
108	0.010000
109	0.007188
110	0.009375
111	0.019375
112	0.020000
113	0.015625
114	0.025000
115	0.028750
116	0.030000
117	0.030937
118	0.039375
119	0.035937
120	0.040313
121	0.042500
122	0.055000
123	0.059375
124	0.070625
125	0.065000
126	0.075313
127	0.063437
128	0.086250
129	0.089688
130	0.094687
131	0.099375
132	0.111875
133	0.108125
134	0.109687
135	0.128125
136	0.124375
137	0.127812
138	0.124063
139	0.148750
140	0.140625
141	0.139063
142	0.153125
143	0.149375
144	0.161562
145	0.172187
146	0.172187
147	0.182500
148	0.185625
149	0.189375
150	0.180938
151	0.178750
152	0.198750
153	0.203750
154	0.189688
155	0.209687
156	0.205937
157	0.214062
158	0.217500
159	0.220312
160	0.234687
161	0.241250
162	0.237187
163	0.235000
164	0.253437
165	0.236250
166	0.249062
167	0.255312
168	0.243125
169	0.276562
170	0.264688
171	0.262188
172	0.273750
173	0.262813
174	0.292500
175	0.290000
176	0.289687
177	0.290312
178	0.290000
179	0.288750
180	0.312188
181	0.303438
182	0.302187
183	0.321250
184	0.311250
185	0.316563
186	0.313125
187	0.318750
188	0.327813
189	0.333437
190	0.339687
191	0.329062
192	0.346250
193	0.338750
194	0.348125
195	0.351250
196	0.344687
197	0.347500
198	0.347187
199	0.366563
200	0.358438
201	0.361875
202	0.361875
203	0.355312
204	0.370000
205	0.361875
206	0.377500
207	0.380937
208	0.388125
209	0.390313
210	0.398125
211	0.377188
212	0.400313
213	0.396250
214	0.397188
215	0.389375
216	0.400000
217	0.416875
218	0.398438
219	0.395313
220	0.402187
221	0.400625
222	0.409687
223	0.418750
224	0.424063
225	0.417500
226	0.413125
227	0.452188
228	0.420312
229	0.428750
230	0.430312
231	0.432500
232	0.443125
233	0.431875
234	0.439375
235	0.430625
236	0.441563
237	0.434688
238	0.449375
239	0.456250
240	0.449688
241	0.446875
242	0.457500
243	0.466562
244	0.470625
245	0.456875
246	0.462813
247	0.453437
248	0.471250
249	0.470625
250	0.472813
251	0.469375
252	0.470000
253	0.488438
254	0.469375
255	0.458125
256	0.480312
257	0.459375
258	0.498750
259	0.489375
260	0.494063
261	0.485312
262	0.485000
263	0.496563
264	0.493125
265	0.500313
266	0.494063
267	0.495625
268	0.499375
269	0.502500
270	0.497188
271	0.508125
272	0.506250
273	0.512813
274	0.511563
275	0.520000
276	0.503125
277	0.515312
278	0.516875
279	0.513437
280	0.527188
281	0.519687
282	0.510938
283	0.524687
284	0.517500
285	0.520938
286	0.532500
287	0.529375
288	0.531563
289	0.520312
290	0.547188
291	0.540312
292	0.549063
293	0.520938
294	0.543438
295	0.542500
296	0.534687
297	0.552813
298	0.544687
299	0.538125
300	0.546250
301	0.555312
302	0.544375
303	0.551250
304	0.545625
305	0.555625
306	0.553125
307	0.553125
308	0.555000
309	0.557500
310	0.559063
311	0.571562
312	0.562813
313	0.545000
314	0.553438
315	0.556875
316	0.576875
317	0.546250
318	0.567813
319	0.580000
320	0.560000
321	0.554063
322	0.577500
323	0.577187
324	0.581562
325	0.564375
326	0.566562
327	0.590000
328	0.582812
329	0.576875
330	0.590938
331	0.583125
332	0.578750
333	0.570937
334	0.583438
335	0.604062
336	0.582812
337	0.580625
338	0.588437
339	0.591875
340	0.593437
341	0.572500
342	0.576562
343	0.597187
344	0.573750
345	0.589688
346	0.588750
347	0.603750
348	0.601875
349	0.603437
350	0.601562
351	0.598750
352	0.595938
353	0.595625
354	0.600625
355	0.600000
356	0.608125
357	0.601875
358	0.601250
359	0.589688
360	0.602500
361	0.600000
362	0.599063
363	0.601875
364	0.624687
365	0.608437
366	0.616250
367	0.613125
368	0.604062
369	0.625000
370	0.622500
371	0.603750
372	0.614375
373	0.622812
374	0.622188
375	0.614062
376	0.620938
377	0.618437
378	0.620938
379	0.618437
380	0.622812
381	0.625313
382	0.631250
383	0.613125
384	0.632812
385	0.623125
386	0.617812
387	0.620625
388	0.620313
389	0.625938
390	0.629375
391	0.630938
392	0.633125
393	0.633125
394	0.630313
395	0.635312
396	0.620313
397	0.633750
398	0.632500
399	0.633750
400	0.633125
